"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Josh Freeman",2010,7,"TAM","ARI",-1.67,0.85
"2","Josh Freeman",2009,11,"TAM","ATL",0.36,0.03
"3","Josh Freeman",2009,16,"TAM","ATL",-2.08,0
"4","Josh Freeman",2010,12,"TAM","ATL",-1.98,-0.14
"5","Josh Freeman",2010,8,"TAM","ATL",0.42,0
"6","Josh Freeman",2011,16,"TAM","ATL",-1.56,0
"7","Josh Freeman",2011,3,"TAM","ATL",0.51,0
"8","Josh Freeman",2012,11,"TAM","ATL",-0.41,-0.27
"9","Josh Freeman",2012,16,"TAM","ATL",-0.79,-0.05
"10","Josh Freeman",2010,11,"TAM","BAL",-1.09,0.37
"11","Josh Freeman",2009,12,"TAM","CAR",-0.99,0
"12","Josh Freeman",2010,2,"TAM","CAR",1.11,0
"13","Josh Freeman",2010,9,"TAM","CAR",3.33,0
"14","Josh Freeman",2011,15,"TAM","CAR",-1.92,0
"15","Josh Freeman",2012,1,"TAM","CAR",-0.62,-0.05
"16","Josh Freeman",2012,10,"TAM","CAR",0.09,1.51
"17","Josh Freeman",2011,7,"TAM","CHI",-0.82,-0.24
"18","Josh Freeman",2010,5,"TAM","CIN",-3.23,1.02
"19","Josh Freeman",2010,1,"TAM","CLE",0,-1.17
"20","Josh Freeman",2011,14,"TAM","DAL",-1.08,0
"21","Josh Freeman",2012,3,"TAM","DAL",-1.79,0
"22","Josh Freeman",2012,12,"TAM","DEN",0.32,0
"23","Josh Freeman",2010,14,"TAM","DET",-0.04,0.3
"24","Josh Freeman",2011,1,"TAM","DET",1.22,1.29
"25","Josh Freeman",2009,8,"TAM","GNB",-2.36,0
"26","Josh Freeman",2011,10,"TAM","GNB",-3.17,0
"27","Josh Freeman",2011,4,"TAM","IND",2.23,0.15
"28","Josh Freeman",2015,16,"IND","TEN",-0.21,0.02
"29","Josh Freeman",2011,13,"TAM","JAX",-2.06,0
"30","Josh Freeman",2012,6,"TAM","KAN",1.99,-0.41
"31","Josh Freeman",2012,15,"TAM","STL",-3.07,0
"32","Josh Freeman",2012,9,"TAM","SDG",2.64,0.15
"33","Josh Freeman",2009,9,"TAM","MIA",-1.7,-0.63
"34","Josh Freeman",2011,2,"TAM","MIN",-1.48,0.09
"35","Josh Freeman",2012,8,"TAM","MIN",0.21,-0.24
"36","Josh Freeman",2013,6,"MIN","NYG",-2.77,0
"37","Josh Freeman",2009,7,"TAM","NWE",-0.41,0
"38","Josh Freeman",2013,3,"TAM","NWE",-1.93,0
"39","Josh Freeman",2009,10,"TAM","NOR",-3.41,0
"40","Josh Freeman",2009,15,"TAM","NOR",-1.09,0
"41","Josh Freeman",2010,16,"TAM","NOR",4.27,0
"42","Josh Freeman",2010,6,"TAM","NOR",-2.08,1.01
"43","Josh Freeman",2011,6,"TAM","NOR",0.37,0.07
"44","Josh Freeman",2011,9,"TAM","NOR",-3.96,0
"45","Josh Freeman",2012,14,"TAM","NOR",-3.13,0
"46","Josh Freeman",2013,2,"TAM","NOR",-0.68,0
"47","Josh Freeman",2012,2,"TAM","NYG",-0.21,0.18
"48","Josh Freeman",2013,7,"MIN","NYG",-2.77,0
"49","Josh Freeman",2009,13,"TAM","NYJ",-3.88,0
"50","Josh Freeman",2013,1,"TAM","NYJ",-2.9,-0.23
"51","Josh Freeman",2012,13,"TAM","PHI",-0.47,0
"52","Josh Freeman",2010,3,"TAM","PIT",-2.18,0
"53","Josh Freeman",2009,14,"TAM","SEA",0.43,0
"54","Josh Freeman",2010,15,"TAM","SEA",4.06,0
"55","Josh Freeman",2010,10,"TAM","SFO",0.29,0
"56","Josh Freeman",2011,5,"TAM","SFO",-2.31,0
"57","Josh Freeman",2010,13,"TAM","WAS",0.95,0.89
"58","Josh Freeman",2010,4,"TAM","CIN",-0.33,1.02
"59","Josh Freeman",2011,11,"TAM","TEN",-2.16,-0.42
"60","Josh Freeman",2011,8,"TAM","NOR",-1.48,0
"61","Josh Freeman",2012,4,"TAM","WAS",-1.26,0.14
"62","Josh Freeman",2012,5,"TAM","KAN",2.27,0
"63","Josh Freeman",2012,7,"TAM","MIN",-0.17,0
