"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Josh McCown",2015,8,"CLE","ARI",-0.93,0
"2","Josh McCown",2014,3,"TAM","ATL",-2.65,0
"3","Josh McCown",2014,9,"TAM","ATL",0.41,0
"4","Josh McCown",2017,7,"NYJ","ATL",0.04,0.65
"5","Josh McCown",2019,2,"PHI","ATL",0.06,0
"6","Josh McCown",2013,10,"CHI","BAL",-0.66,0
"7","Josh McCown",2015,11,"CLE","BAL",-0.38,0
"8","Josh McCown",2015,5,"CLE","BAL",-0.1,0.14
"9","Josh McCown",2016,2,"CLE","BAL",-1.52,-0.39
"10","Josh McCown",2016,9,"CLE","BAL",-1.92,0
"11","Josh McCown",2017,1,"NYJ","BUF",-2.39,0
"12","Josh McCown",2017,8,"NYJ","BUF",2.23,-0.26
"13","Josh McCown",2018,10,"NYJ","BUF",-3.93,0
"14","Josh McCown",2018,13,"NYJ","BUF",-0.08,0
"15","Josh McCown",2009,1,"CAR","PHI",-0.54,0
"16","Josh McCown",2014,1,"TAM","CAR",-0.04,0.04
"17","Josh McCown",2014,14,"TAM","CAR",-1.37,-0.14
"18","Josh McCown",2017,11,"NYJ","CAR",-0.37,-0.03
"19","Josh McCown",2007,9,"OAK","CHI",-2.1,0.21
"20","Josh McCown",2011,14,"CHI","SEA",-0.57,0
"21","Josh McCown",2011,15,"CHI","GNB",-1.29,0
"22","Josh McCown",2011,16,"CHI","MIN",-2.06,0
"23","Josh McCown",2013,11,"CHI","STL",-2.38,0
"24","Josh McCown",2013,12,"CHI","MIN",0.88,-0.23
"25","Josh McCown",2013,13,"CHI","DAL",6.96,0
"26","Josh McCown",2013,15,"CHI","PHI",-0.43,0
"27","Josh McCown",2013,7,"CHI","WAS",1.51,-0.6
"28","Josh McCown",2013,8,"CHI","GNB",0.34,0
"29","Josh McCown",2013,9,"CHI","DET",0.15,0.15
"30","Josh McCown",2014,11,"TAM","CHI",-2.89,-0.69
"31","Josh McCown",2014,12,"TAM","CIN",-1.85,-0.84
"32","Josh McCown",2007,3,"OAK","CLE",-0.65,0
"33","Josh McCown",2015,1,"CLE","NYJ",-0.25,0
"34","Josh McCown",2015,3,"CLE","OAK",0.75,-0.26
"35","Josh McCown",2015,4,"CLE","SDG",-1.15,0.27
"36","Josh McCown",2015,6,"CLE","DEN",-2.82,-0.22
"37","Josh McCown",2015,7,"CLE","STL",-2.13,0
"38","Josh McCown",2016,10,"CLE","BAL",-3.89,-0.08
"39","Josh McCown",2016,11,"CLE","PIT",-3.29,-0.08
"40","Josh McCown",2016,12,"CLE","NYG",-1.34,0
"41","Josh McCown",2016,8,"CLE","NYJ",-0.75,0.21
"42","Josh McCown",2017,5,"NYJ","CLE",1,0
"43","Josh McCown",2007,12,"OAK","DEN",-3.55,0
"44","Josh McCown",2007,2,"OAK","DEN",-1.49,-0.5
"45","Josh McCown",2017,13,"NYJ","DEN",-2.2,0
"46","Josh McCown",2006,12,"DET","NWE",-0.31,-0.01
"47","Josh McCown",2007,1,"OAK","DET",1.3,-0.85
"48","Josh McCown",2014,13,"TAM","DET",-1.57,0
"49","Josh McCown",2007,13,"OAK","GNB",-0.29,0
"50","Josh McCown",2014,15,"TAM","GNB",-1.84,0
"51","Josh McCown",2007,14,"OAK","IND",-1.44,-0.39
"52","Josh McCown",2007,15,"OAK","JAX",-1.13,0
"53","Josh McCown",2017,4,"NYJ","JAX",-1.64,-0.58
"54","Josh McCown",2017,12,"NYJ","KAN",0.26,0.04
"55","Josh McCown",2014,2,"TAM","STL",6.62,0
"56","Josh McCown",2017,2,"NYJ","MIA",-0.44,0
"57","Josh McCown",2017,6,"NYJ","MIA",1.77,0.16
"58","Josh McCown",2018,11,"NYJ","NWE",-1.33,0
"59","Josh McCown",2014,16,"TAM","NOR",-3.95,-1.62
"60","Josh McCown",2017,10,"NYJ","TAM",-1.14,0.7
"61","Josh McCown",2017,3,"NYJ","MIA",0.5,0
"62","Josh McCown",2017,9,"NYJ","BUF",0.18,0.7
"63","Josh McCown",2018,12,"NYJ","TEN",-2.67,-0.55
"64","Josh McCown",2007,8,"OAK","HOU",-0.43,1.17
"65","Josh McCown",2014,10,"TAM","WAS",1.17,0
"66","Josh McCown",2013,6,"CHI","WAS",1.51,-0.6
