"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Kerry Collins",2008,4,"TEN","BAL",-0.7,1.11
"2","Kerry Collins",2008,9,"TEN","CHI",2.64,-0.15
"3","Kerry Collins",2008,2,"TEN","CIN",1.49,0
"4","Kerry Collins",2008,13,"TEN","CLE",0.29,0
"5","Kerry Collins",2011,2,"IND","CLE",-1.84,0
"6","Kerry Collins",2008,12,"TEN","DET",0.04,0
"7","Kerry Collins",2008,8,"TEN","GNB",-0.58,0.66
"8","Kerry Collins",2007,7,"TEN","HOU",-2.58,-0.25
"9","Kerry Collins",2008,14,"TEN","HOU",-1.01,-0.37
"10","Kerry Collins",2009,2,"TEN","HOU",-0.88,-0.57
"11","Kerry Collins",2010,14,"TEN","HOU",1.91,0
"12","Kerry Collins",2011,1,"IND","HOU",-1.73,0
"13","Kerry Collins",2007,16,"TEN","IND",0.92,0
"14","Kerry Collins",2008,16,"TEN","IND",-0.32,0
"15","Kerry Collins",2008,7,"TEN","IND",0.16,0
"16","Kerry Collins",2009,5,"TEN","IND",-2.32,0
"17","Kerry Collins",2010,13,"TEN","IND",-0.69,0.32
"18","Kerry Collins",2010,16,"TEN","IND",1.52,-0.51
"19","Kerry Collins",2011,3,"IND","PIT",-2.01,0
"20","Kerry Collins",2007,1,"TEN","JAX",-0.27,0
"21","Kerry Collins",2008,1,"TEN","JAX",-0.02,-0.44
"22","Kerry Collins",2008,10,"TEN","JAX",2.58,0
"23","Kerry Collins",2009,4,"TEN","JAX",4.39,0
"24","Kerry Collins",2010,12,"TEN","JAX",-1.18,0
"25","Kerry Collins",2010,6,"TEN","JAX",1.92,0
"26","Kerry Collins",2008,6,"TEN","KAN",0.38,0
"27","Kerry Collins",2010,15,"TEN","KAN",-0.9,0
"28","Kerry Collins",2009,13,"TEN","STL",1.99,0
"29","Kerry Collins",2006,2,"TEN","SDG",-1.37,0
"30","Kerry Collins",2007,13,"TEN","SDG",-0.61,0
"31","Kerry Collins",2010,8,"TEN","SDG",-1,-0.77
"32","Kerry Collins",2006,3,"TEN","MIA",2.69,0.12
"33","Kerry Collins",2010,9,"TEN","MIA",-1.25,0
"34","Kerry Collins",2009,6,"TEN","NWE",-1.93,0
"35","Kerry Collins",2007,3,"TEN","NOR",-0.76,0
"36","Kerry Collins",2006,1,"TEN","NYJ",-1.85,-0.38
"37","Kerry Collins",2008,11,"TEN","NYJ",-1.01,0
"38","Kerry Collins",2009,3,"TEN","NYJ",-2.07,-0.92
"39","Kerry Collins",2010,7,"TEN","PHI",2.39,0
"40","Kerry Collins",2008,15,"TEN","PIT",-3.54,0
"41","Kerry Collins",2009,1,"TEN","PIT",-0.72,-0.52
"42","Kerry Collins",2010,2,"TEN","PIT",0.74,0.59
"43","Kerry Collins",2007,6,"TEN","TAM",-2.39,-0.57
"44","Kerry Collins",2007,5,"TEN","TAM",-0.74,-0.26
"45","Kerry Collins",2008,3,"TEN","HOU",1.9,0
"46","Kerry Collins",2008,5,"TEN","BAL",-3.83,1.11
