"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Kirk Cousins",2014,5,"WAS","ARI",-0.12,0.69
"2","Kirk Cousins",2016,12,"WAS","ARI",-1.18,-0.52
"3","Kirk Cousins",2017,14,"WAS","ARI",1.53,-0.15
"4","Kirk Cousins",2018,6,"MIN","ARI",-0.14,0
"5","Kirk Cousins",2022,8,"MIN","ARI",1.65,-0.35
"6","Kirk Cousins",2012,5,"WAS","ATL",-0.43,-0.9
"7","Kirk Cousins",2013,14,"WAS","ATL",0.35,-0.01
"8","Kirk Cousins",2015,5,"WAS","ATL",-4.46,-0.33
"9","Kirk Cousins",2019,1,"MIN","ATL",1.57,0
"10","Kirk Cousins",2012,13,"WAS","BAL",1.2,1.2
"11","Kirk Cousins",2016,5,"WAS","BAL",0.44,-0.18
"12","Kirk Cousins",2015,14,"WAS","BUF",2.87,0
"13","Kirk Cousins",2018,3,"MIN","BUF",-2.56,0
"14","Kirk Cousins",2022,9,"MIN","BUF",-1.64,-1.24
"15","Kirk Cousins",2015,10,"WAS","CAR",0.46,0
"16","Kirk Cousins",2016,14,"WAS","CAR",0.19,0
"17","Kirk Cousins",2015,13,"WAS","CHI",1.2,-0.17
"18","Kirk Cousins",2016,15,"WAS","CHI",3.05,0
"19","Kirk Cousins",2018,10,"MIN","CHI",1.06,0.35
"20","Kirk Cousins",2018,16,"MIN","CHI",-2.44,0
"21","Kirk Cousins",2019,4,"MIN","CHI",-2.51,0
"22","Kirk Cousins",2022,17,"MIN","CHI",3.43,0
"23","Kirk Cousins",2022,5,"MIN","CHI",3.71,0.88
"24","Kirk Cousins",2016,8,"WAS","CIN",4.54,-0.07
"25","Kirk Cousins",2012,14,"WAS","CLE",0.64,0
"26","Kirk Cousins",2016,4,"WAS","CLE",1.29,0
"27","Kirk Cousins",2013,15,"WAS","DAL",-1.5,-0.5
"28","Kirk Cousins",2015,12,"WAS","DAL",-1.66,0.29
"29","Kirk Cousins",2015,16,"WAS","DAL",2.06,0
