"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Kurt Warner",2006,1,"ARI","SFO",1.41,0.28
"2","Kurt Warner",2006,15,"ARI","SFO",0.27,0.24
"3","Kurt Warner",2006,16,"ARI","SDG",0.07,0
"4","Kurt Warner",2006,2,"ARI","SEA",-1.03,0
"5","Kurt Warner",2006,3,"ARI","STL",0.47,-0.52
"6","Kurt Warner",2006,4,"ARI","ATL",-1.55,0
"7","Kurt Warner",2007,10,"ARI","CIN",-0.08,-0.1
"8","Kurt Warner",2007,11,"ARI","SFO",2.7,0.58
"9","Kurt Warner",2007,13,"ARI","SEA",-2.08,0
"10","Kurt Warner",2007,14,"ARI","NOR",-0.16,0
"11","Kurt Warner",2007,15,"ARI","ATL",2.94,0.68
"12","Kurt Warner",2007,16,"ARI","STL",2.35,0
"13","Kurt Warner",2007,3,"ARI","BAL",2.03,-0.03
"14","Kurt Warner",2007,4,"ARI","PIT",-0.73,0
"15","Kurt Warner",2007,5,"ARI","STL",1.33,0
"16","Kurt Warner",2007,6,"ARI","CAR",-1.38,0.34
"17","Kurt Warner",2007,7,"ARI","WAS",-3.56,0.34
"18","Kurt Warner",2007,8,"ARI","TAM",-0.32,-0.49
"19","Kurt Warner",2007,9,"ARI","DET",-0.37,-0.49
"20","Kurt Warner",2008,1,"ARI","SFO",1.04,0.14
"21","Kurt Warner",2008,10,"ARI","SEA",1.54,-0.15
"22","Kurt Warner",2008,11,"ARI","NYG",-2.04,0
"23","Kurt Warner",2008,12,"ARI","PHI",-1.87,0
"24","Kurt Warner",2008,13,"ARI","STL",1.3,0
"25","Kurt Warner",2008,14,"ARI","MIN",-2.32,0
"26","Kurt Warner",2008,15,"ARI","NWE",-1.61,0
"27","Kurt Warner",2008,16,"ARI","SEA",3.51,0
"28","Kurt Warner",2008,2,"ARI","MIA",3.72,0
"29","Kurt Warner",2008,3,"ARI","WAS",-1,-0.18
"30","Kurt Warner",2008,4,"ARI","NYJ",-2.12,0
"31","Kurt Warner",2008,5,"ARI","BUF",3.03,0
"32","Kurt Warner",2008,6,"ARI","DAL",-0.26,-0.28
"33","Kurt Warner",2008,7,"ARI","CAR",-0.32,0
"34","Kurt Warner",2008,8,"ARI","STL",-0.78,0
"35","Kurt Warner",2008,9,"ARI","SFO",3.79,0.11
"36","Kurt Warner",2009,1,"ARI","SFO",-3.38,-0.36
"37","Kurt Warner",2009,10,"ARI","STL",0.72,0
"38","Kurt Warner",2009,12,"ARI","MIN",3.41,0
"39","Kurt Warner",2009,13,"ARI","SFO",-3.67,0
"40","Kurt Warner",2009,14,"ARI","DET",-0.94,-0.28
"41","Kurt Warner",2009,15,"ARI","STL",2.88,0
"42","Kurt Warner",2009,16,"ARI","GNB",-0.89,0
"43","Kurt Warner",2009,2,"ARI","JAX",2.15,0
"44","Kurt Warner",2009,3,"ARI","IND",0.46,0
"45","Kurt Warner",2009,4,"ARI","HOU",0.94,-0.44
"46","Kurt Warner",2009,5,"ARI","SEA",1.78,-0.33
"47","Kurt Warner",2009,6,"ARI","NYG",-5.54,-0.17
"48","Kurt Warner",2009,7,"ARI","CAR",-2.49,-0.17
"49","Kurt Warner",2009,8,"ARI","CHI",-0.55,0
"50","Kurt Warner",2009,9,"ARI","SEA",2.98,0
