"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Kyle Orton",2010,13,"DEN","ARI",-3.58,0
"2","Kyle Orton",2008,6,"CHI","ATL",1.58,0.91
"3","Kyle Orton",2009,7,"DEN","BAL",-2.15,0
"4","Kyle Orton",2010,5,"DEN","BAL",-0.03,0
"5","Kyle Orton",2014,10,"BUF","MIA",-2.62,0
"6","Kyle Orton",2014,11,"BUF","NYJ",2.33,0
"7","Kyle Orton",2014,12,"BUF","CLE",0.01,0
"8","Kyle Orton",2014,13,"BUF","DEN",-2.45,0.2
"9","Kyle Orton",2014,14,"BUF","GNB",-1.88,0.05
"10","Kyle Orton",2014,15,"BUF","OAK",0.14,1.09
"11","Kyle Orton",2014,16,"BUF","NWE",0.56,0.03
"12","Kyle Orton",2014,5,"BUF","DET",-1.16,0.05
"13","Kyle Orton",2014,6,"BUF","NWE",0.31,0
"14","Kyle Orton",2014,7,"BUF","MIN",-1.82,0.78
"15","Kyle Orton",2014,8,"BUF","NYJ",1.41,0
"16","Kyle Orton",2014,9,"BUF","KAN",-0.09,-0.02
"17","Kyle Orton",2008,2,"CHI","CAR",-2.25,-0.6
"18","Kyle Orton",2007,14,"CHI","MIN",-0.79,-0.18
"19","Kyle Orton",2007,15,"CHI","GNB",-0.62,0
"20","Kyle Orton",2007,16,"CHI","NOR",-0.61,0
"21","Kyle Orton",2008,1,"CHI","IND",-0.06,0
"22","Kyle Orton",2008,10,"CHI","GNB",-2.57,0
"23","Kyle Orton",2008,11,"CHI","STL",-0.47,0
"24","Kyle Orton",2008,12,"CHI","MIN",-1.03,0
"25","Kyle Orton",2008,13,"CHI","JAX",1.06,0
"26","Kyle Orton",2008,14,"CHI","NOR",-1.51,-0.19
"27","Kyle Orton",2008,15,"CHI","GNB",-1.2,0
"28","Kyle Orton",2008,16,"CHI","HOU",-0.82,0.21
"29","Kyle Orton",2008,3,"CHI","TAM",0.28,-0.15
"30","Kyle Orton",2008,4,"CHI","PHI",3.06,-0.06
"31","Kyle Orton",2008,5,"CHI","DET",3.93,0
"32","Kyle Orton",2008,7,"CHI","MIN",0.51,-0.4
"33","Kyle Orton",2008,8,"CHI","DET",0.46,0
"34","Kyle Orton",2011,12,"KAN","CHI",-0.09,0
"35","Kyle Orton",2012,4,"DAL","CHI",2.64,0
"36","Kyle Orton",2013,13,"DAL","CHI",-0.19,0
"37","Kyle Orton",2009,1,"DEN","CIN",-0.34,0.67
"38","Kyle Orton",2011,2,"DEN","CIN",1.57,0
"39","Kyle Orton",2009,2,"DEN","CLE",1.6,0
"40","Kyle Orton",2009,4,"DEN","DAL",1.06,0.81
"41","Kyle Orton",2013,16,"DAL","PHI",-0.76,0.17
"42","Kyle Orton",2009,10,"DEN","SDG",-2.29,0
"43","Kyle Orton",2009,11,"DEN","NYG",1.15,0
"44","Kyle Orton",2009,12,"DEN","KAN",2.69,0
"45","Kyle Orton",2009,13,"DEN","IND",-1.48,0
"46","Kyle Orton",2009,14,"DEN","OAK",-0.08,-0.88
"47","Kyle Orton",2009,15,"DEN","PHI",-2.13,-0.17
"48","Kyle Orton",2009,16,"DEN","KAN",-1.54,0
"49","Kyle Orton",2009,3,"DEN","OAK",2.32,0
"50","Kyle Orton",2009,5,"DEN","NWE",-0.02,-0.41
"51","Kyle Orton",2009,6,"DEN","SDG",-0.27,0
"52","Kyle Orton",2009,8,"DEN","PIT",-4.94,0
"53","Kyle Orton",2009,9,"DEN","WAS",1.24,0
"54","Kyle Orton",2010,1,"DEN","JAX",-5.75,-0.27
"55","Kyle Orton",2010,10,"DEN","SDG",-4.91,0
"56","Kyle Orton",2010,11,"DEN","STL",2.68,0.09
"57","Kyle Orton",2010,12,"DEN","KAN",-1.45,0.33
"58","Kyle Orton",2010,2,"DEN","SEA",3.44,0
"59","Kyle Orton",2010,3,"DEN","IND",-1.87,0
"60","Kyle Orton",2010,4,"DEN","TEN",-1.61,-0.33
"61","Kyle Orton",2010,6,"DEN","NYJ",-1.66,-0.61
"62","Kyle Orton",2010,7,"DEN","OAK",-0.62,0
"63","Kyle Orton",2010,8,"DEN","SFO",-0.25,0.05
"64","Kyle Orton",2010,9,"DEN","KAN",3.92,0
"65","Kyle Orton",2011,1,"DEN","OAK",0.89,0.97
"66","Kyle Orton",2011,16,"KAN","DEN",-0.28,0
"67","Kyle Orton",2011,3,"DEN","TEN",-2.18,-0.35
"68","Kyle Orton",2011,4,"DEN","GNB",0.93,0
"69","Kyle Orton",2011,5,"DEN","SDG",-1.11,0
"70","Kyle Orton",2011,14,"KAN","GNB",-0.03,0
"71","Kyle Orton",2011,15,"KAN","OAK",1.75,2.41
