"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Kyler Murray",2019,1,"ARI","DET",-2.92,0.01
"2","Kyler Murray",2019,10,"ARI","TAM",-1.82,-1.43
"3","Kyler Murray",2019,11,"ARI","SFO",-1.79,-0.75
"4","Kyler Murray",2019,12,"ARI","LAR",-1.61,0
"5","Kyler Murray",2019,13,"ARI","PIT",-2.12,-0.69
"6","Kyler Murray",2019,14,"ARI","CLE",0.04,0
"7","Kyler Murray",2019,15,"ARI","SEA",0.3,0
"8","Kyler Murray",2019,16,"ARI","LAR",-0.39,0.27
"9","Kyler Murray",2019,2,"ARI","BAL",-1.63,-0.4
"10","Kyler Murray",2019,3,"ARI","CAR",-1.34,0
"11","Kyler Murray",2019,4,"ARI","SEA",-1.19,0
"12","Kyler Murray",2019,5,"ARI","CIN",0.49,0.27
"13","Kyler Murray",2019,6,"ARI","ATL",1.01,-0.04
"14","Kyler Murray",2019,7,"ARI","NYG",-1.58,-0.11
"15","Kyler Murray",2019,8,"ARI","NOR",-1.57,0
"16","Kyler Murray",2019,9,"ARI","SFO",-0.38,-0.68
"17","Kyler Murray",2020,4,"ARI","CAR",3.1,0
"18","Kyler Murray",2020,6,"ARI","DAL",-1.17,0.84
"19","Kyler Murray",2020,7,"ARI","SEA",0.4,0.84
"20","Kyler Murray",2020,8,"ARI","MIA",4.02,0.29
"21","Kyler Murray",2020,9,"ARI","BUF",3.41,1.01
"22","Kyler Murray",2022,1,"ARI","KAN",-1.23,0
"23","Kyler Murray",2022,12,"ARI","LAC",0.35,-0.77
"24","Kyler Murray",2022,13,"ARI","NWE",0.48,0
"25","Kyler Murray",2022,2,"ARI","LVR",-2.59,-0.78
"26","Kyler Murray",2022,3,"ARI","LAR",-4.39,0
"27","Kyler Murray",2022,4,"ARI","CAR",1.68,0
"28","Kyler Murray",2022,5,"ARI","PHI",0.03,0.33
"29","Kyler Murray",2022,6,"ARI","SEA",-4.17,0
"30","Kyler Murray",2022,7,"ARI","NOR",-0.95,-0.48
"31","Kyler Murray",2022,8,"ARI","MIN",-1.09,-0.44
"32","Kyler Murray",2022,9,"ARI","SEA",-1.03,0.96
"33","Kyler Murray",2020,10,"ARI","BUF",7.6,1.01
"34","Kyler Murray",2022,11,"ARI","LAC",0.35,-0.78
