"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Lamar Jackson",2019,2,"BAL","ARI",3.08,0.09
"2","Lamar Jackson",2018,12,"BAL","ATL",-2.55,0
"3","Lamar Jackson",2018,1,"BAL","BUF",-0.33,0
"4","Lamar Jackson",2018,10,"BAL","CIN",-0.23,-0.28
"5","Lamar Jackson",2018,11,"BAL","OAK",1.26,0
"6","Lamar Jackson",2018,13,"BAL","KAN",-1.02,-0.86
"7","Lamar Jackson",2018,14,"BAL","TAM",0.99,0
"8","Lamar Jackson",2018,15,"BAL","LAC",-1.42,-0.16
"9","Lamar Jackson",2018,16,"BAL","CLE",0.63,-0.41
"10","Lamar Jackson",2018,2,"BAL","CIN",-0.2,0
"11","Lamar Jackson",2018,3,"BAL","DEN",-0.11,0
"12","Lamar Jackson",2018,4,"BAL","PIT",-0.35,0
"13","Lamar Jackson",2018,5,"BAL","CLE",-0.27,0
"14","Lamar Jackson",2018,6,"BAL","TEN",1.1,0
"15","Lamar Jackson",2018,7,"BAL","NOR",2.53,0
"16","Lamar Jackson",2018,8,"BAL","CAR",1.45,0
"17","Lamar Jackson",2018,9,"PIT","BAL",-0.3,0
"18","Lamar Jackson",2019,1,"BAL","MIA",3.61,0
"19","Lamar Jackson",2019,10,"BAL","HOU",4.52,0
"20","Lamar Jackson",2019,11,"BAL","LAR",5.33,0
"21","Lamar Jackson",2019,12,"BAL","SFO",0.72,0.12
"22","Lamar Jackson",2019,13,"BAL","BUF",1.07,0
"23","Lamar Jackson",2019,14,"BAL","NYJ",4.36,0
"24","Lamar Jackson",2019,15,"BAL","CLE",3.83,0
"25","Lamar Jackson",2019,3,"BAL","KAN",-2.15,0.45
"26","Lamar Jackson",2019,4,"BAL","CLE",1.23,0
"27","Lamar Jackson",2019,5,"BAL","PIT",-0.04,0.08
"28","Lamar Jackson",2019,6,"BAL","CIN",1.92,0
"29","Lamar Jackson",2019,7,"BAL","SEA",-0.24,0
"30","Lamar Jackson",2019,8,"BAL","NWE",-2.34,0
"31","Lamar Jackson",2019,9,"BAL","CIN",9.87,0
"32","Lamar Jackson",2020,13,"BAL","CLE",3.04,0.82
"33","Lamar Jackson",2020,16,"BAL","CIN",2.16,0
"34","Lamar Jackson",2020,7,"BAL","PIT",-1.74,-0.67
"35","Lamar Jackson",2020,8,"BAL","IND",0.1,0
"36","Lamar Jackson",2022,1,"BAL","NYJ",1.29,0
"37","Lamar Jackson",2022,10,"BAL","CAR",-3.73,0
"38","Lamar Jackson",2022,11,"BAL","JAX",-2.56,0.38
"39","Lamar Jackson",2022,12,"BAL","DEN",-1.21,0
"40","Lamar Jackson",2022,2,"BAL","MIA",1.99,-0.85
"41","Lamar Jackson",2022,3,"BAL","NWE",5.63,0.15
"42","Lamar Jackson",2022,4,"BAL","BUF",-2.11,0
"43","Lamar Jackson",2022,5,"BAL","CIN",-0.71,0
"44","Lamar Jackson",2022,6,"BAL","NYG",0.76,-1.59
"45","Lamar Jackson",2022,7,"BAL","CLE",0.54,0.12
"46","Lamar Jackson",2022,8,"BAL","TAM",0.22,-0.08
"47","Lamar Jackson",2022,9,"BAL","NOR",1.01,0
