"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Marc Bulger",2006,12,"STL","ARI",2.03,0
"2","Marc Bulger",2006,3,"STL","ARI",0.21,-0.21
"3","Marc Bulger",2007,16,"STL","ARI",-1.69,0
"4","Marc Bulger",2008,13,"STL","ARI",-1.41,0
"5","Marc Bulger",2008,8,"STL","ARI",-2.15,0
"6","Marc Bulger",2009,10,"STL","ARI",-2.45,-0.93
"7","Marc Bulger",2008,16,"STL","ATL",-1.96,-0.97
"8","Marc Bulger",2006,10,"STL","CAR",0.25,0
"9","Marc Bulger",2007,1,"STL","CAR",-0.52,0
"10","Marc Bulger",2006,13,"STL","CHI",-1.78,0
"11","Marc Bulger",2008,11,"STL","CHI",-0.24,0
"12","Marc Bulger",2007,7,"STL","CLE",-1.26,-0.05
"13","Marc Bulger",2007,4,"STL","DAL",-2.23,0
"14","Marc Bulger",2008,7,"STL","DAL",-1.65,-1.17
"15","Marc Bulger",2006,1,"STL","DEN",-1.55,0
"16","Marc Bulger",2006,4,"STL","DET",2.87,0.7
"17","Marc Bulger",2009,7,"STL","DET",-3.53,0.1
"18","Marc Bulger",2006,5,"STL","GNB",0.88,0.16
"19","Marc Bulger",2007,14,"STL","GNB",-2.46,0
"20","Marc Bulger",2009,3,"STL","GNB",-0.66,0
"21","Marc Bulger",2009,6,"STL","IND",-3.32,-0.43
"22","Marc Bulger",2006,8,"STL","KAN",1.25,0
"23","Marc Bulger",2006,11,"STL","SFO",0.98,1.48
"24","Marc Bulger",2006,14,"STL","OAK",-0.96,0
"25","Marc Bulger",2006,15,"STL","WAS",7.94,0.64
"26","Marc Bulger",2006,16,"STL","MIN",1.54,0
"27","Marc Bulger",2006,2,"STL","SFO",-1.87,-0.14
"28","Marc Bulger",2006,6,"STL","SEA",-1.84,0.46
"29","Marc Bulger",2006,7,"STL","SDG",-0.72,0
"30","Marc Bulger",2006,9,"STL","SEA",-2.78,0
"31","Marc Bulger",2007,10,"STL","SFO",-1.15,0
"32","Marc Bulger",2007,11,"STL","SEA",-0.55,0
"33","Marc Bulger",2007,15,"STL","PIT",1.09,0
"34","Marc Bulger",2007,2,"STL","SFO",0.22,-0.53
"35","Marc Bulger",2007,3,"STL","TAM",-1.43,0
"36","Marc Bulger",2007,8,"STL","CLE",0.15,-0.05
"37","Marc Bulger",2007,9,"STL","NOR",-0.34,0
"38","Marc Bulger",2008,1,"STL","PHI",-1.29,0
"39","Marc Bulger",2008,10,"STL","SFO",-3.42,0
"40","Marc Bulger",2008,12,"STL","MIA",-1.75,-0.51
"41","Marc Bulger",2008,14,"STL","SEA",-0.74,-0.55
"42","Marc Bulger",2008,15,"STL","SFO",0.48,-0.65
"43","Marc Bulger",2008,2,"STL","NYG",-1.64,0
"44","Marc Bulger",2008,3,"STL","SEA",-1.67,0
"45","Marc Bulger",2008,5,"STL","WAS",-1.49,0.55
"46","Marc Bulger",2008,6,"STL","DAL",-1.73,0.55
"47","Marc Bulger",2008,9,"STL","NYJ",-1.14,0
"48","Marc Bulger",2009,1,"STL","SEA",-2.38,0
"49","Marc Bulger",2009,2,"STL","WAS",-1.43,-0.82
"50","Marc Bulger",2009,5,"STL","MIN",0.84,0
"51","Marc Bulger",2009,8,"STL","DET",-1.28,0.1
"52","Marc Bulger",2009,9,"STL","NOR",-1.61,0.1
