"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Marcus Mariota",2017,13,"TEN","ARI",-1.76,-1.32
"2","Marcus Mariota",2019,4,"TEN","ATL",2.32,0
"3","Marcus Mariota",2022,1,"ATL","NOR",1.57,-0.97
"4","Marcus Mariota",2022,10,"ATL","CAR",1.3,0.66
"5","Marcus Mariota",2022,11,"ATL","CHI",3.08,-0.13
"6","Marcus Mariota",2022,12,"ATL","WAS",1.18,-0.36
"7","Marcus Mariota",2022,13,"ATL","PIT",1.09,-0.38
"8","Marcus Mariota",2022,2,"ATL","LAR",0.1,0.02
"9","Marcus Mariota",2022,3,"ATL","SEA",1,0
"10","Marcus Mariota",2022,4,"ATL","CLE",-0.86,0.37
"11","Marcus Mariota",2022,5,"ATL","TAM",-0.6,0
"12","Marcus Mariota",2022,6,"ATL","SFO",2.8,0
"13","Marcus Mariota",2022,7,"ATL","CIN",-1.24,0
"14","Marcus Mariota",2022,8,"ATL","CAR",-5.37,0.94
"15","Marcus Mariota",2022,9,"ATL","LAC",-0.74,0
"16","Marcus Mariota",2017,9,"TEN","BAL",-0.08,0.39
"17","Marcus Mariota",2018,6,"TEN","BAL",-2.05,0
"18","Marcus Mariota",2015,5,"TEN","BUF",-6.18,-0.48
"19","Marcus Mariota",2018,5,"TEN","BUF",-1.09,0
"20","Marcus Mariota",2019,5,"TEN","BUF",-2.13,0
"21","Marcus Mariota",2015,9,"TEN","CAR",-1.21,-0.23
"22","Marcus Mariota",2016,11,"TEN","CHI",1.96,-0.45
"23","Marcus Mariota",2015,2,"TEN","CLE",-0.65,0
"24","Marcus Mariota",2016,6,"TEN","CLE",-2.2,0
"25","Marcus Mariota",2017,7,"TEN","CLE",-3.67,-0.18
"26","Marcus Mariota",2019,1,"TEN","CLE",1.27,0
"27","Marcus Mariota",2018,8,"TEN","DAL",-0.35,0
"28","Marcus Mariota",2016,13,"TEN","DEN",-2.05,0.07
"29","Marcus Mariota",2019,6,"TEN","DEN",-2.04,0
"30","Marcus Mariota",2016,2,"TEN","DET",0.06,0.42
"31","Marcus Mariota",2016,9,"TEN","GNB",2.4,0
"32","Marcus Mariota",2016,4,"TEN","HOU",-2.07,-0.52
"33","Marcus Mariota",2017,12,"TEN","HOU",1.94,-0.33
"34","Marcus Mariota",2017,4,"TEN","HOU",1.84,0
"35","Marcus Mariota",2018,11,"TEN","HOU",1.57,0
"36","Marcus Mariota",2019,16,"TEN","HOU",0.35,0
"37","Marcus Mariota",2015,3,"TEN","IND",-1.09,-0.53
"38","Marcus Mariota",2016,10,"TEN","IND",2.28,-0.31
"39","Marcus Mariota",2016,7,"TEN","IND",5.66,0
"40","Marcus Mariota",2017,11,"TEN","IND",1.51,0.15
"41","Marcus Mariota",2017,6,"TEN","IND",1.55,0
"42","Marcus Mariota",2018,10,"TEN","IND",2.89,0
"43","Marcus Mariota",2019,2,"TEN","IND",-0.71,-0.35
"44","Marcus Mariota",2015,10,"TEN","JAX",-0.77,-0.65
"45","Marcus Mariota",2015,12,"TEN","JAX",2.14,-0.21
"46","Marcus Mariota",2016,15,"TEN","JAX",-0.12,0
"47","Marcus Mariota",2017,16,"TEN","JAX",-1.27,0.13
"48","Marcus Mariota",2017,2,"TEN","JAX",0.97,0
"49","Marcus Mariota",2018,13,"TEN","JAX",0.72,0
"50","Marcus Mariota",2018,3,"TEN","JAX",0.16,0.16
"51","Marcus Mariota",2019,3,"TEN","JAX",-2.35,0
"52","Marcus Mariota",2016,14,"TEN","KAN",0.52,-0.1
"53","Marcus Mariota",2017,15,"TEN","LAR",-1.9,-0.36
"54","Marcus Mariota",2018,7,"TEN","LAC",-0.41,0.09
"55","Marcus Mariota",2016,5,"TEN","MIA",0.89,0
"56","Marcus Mariota",2018,1,"TEN","MIA",-0.11,0
"57","Marcus Mariota",2016,1,"TEN","MIN",-2.07,0
"58","Marcus Mariota",2015,14,"TEN","NWE",-1.27,0
"59","Marcus Mariota",2018,14,"TEN","NYG",-0.76,0
"60","Marcus Mariota",2015,13,"TEN","NYJ",-1,0
"61","Marcus Mariota",2018,12,"TEN","NYJ",-3.46,0.81
"62","Marcus Mariota",2015,11,"TEN","OAK",0.76,-0.53
"63","Marcus Mariota",2016,3,"TEN","OAK",-1.27,-0.08
"64","Marcus Mariota",2017,1,"TEN","OAK",1.12,0
"65","Marcus Mariota",2018,4,"TEN","PHI",-1.69,-0.2
"66","Marcus Mariota",2017,10,"TEN","PIT",-0.21,0
"67","Marcus Mariota",2017,3,"TEN","SEA",0.71,0
"68","Marcus Mariota",2017,14,"TEN","SFO",0.71,0.08
"69","Marcus Mariota",2015,1,"TEN","TAM",1.75,0
"70","Marcus Mariota",2015,4,"TEN","BUF",0.05,-0.48
"71","Marcus Mariota",2015,8,"TEN","NOR",0.91,-0.23
"72","Marcus Mariota",2016,12,"TEN","CHI",2.56,-0.14
"73","Marcus Mariota",2016,8,"TEN","JAX",3.86,0
"74","Marcus Mariota",2017,8,"TEN","BAL",-0.01,0
"75","Marcus Mariota",2018,15,"TEN","WAS",0.97,0
"76","Marcus Mariota",2018,9,"TEN","NWE",2.49,0
