"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Mark Sanchez",2012,12,"NYJ","ARI",-2.38,0
"2","Mark Sanchez",2009,14,"NYJ","ATL",-0.75,-0.86
"3","Mark Sanchez",2010,1,"NYJ","BAL",-1.79,-0.63
"4","Mark Sanchez",2011,4,"NYJ","BAL",-3.99,0
"5","Mark Sanchez",2009,12,"NYJ","BUF",-0.05,0
"6","Mark Sanchez",2009,6,"NYJ","BUF",-2.79,0
"7","Mark Sanchez",2010,4,"NYJ","BUF",0.26,-0.1
"8","Mark Sanchez",2011,11,"NYJ","BUF",0.79,0.9
"9","Mark Sanchez",2011,8,"NYJ","BUF",0.02,0
"10","Mark Sanchez",2012,1,"NYJ","BUF",3.99,0
"11","Mark Sanchez",2012,16,"NYJ","BUF",-2.87,0
"12","Mark Sanchez",2009,11,"NYJ","CAR",0.95,0
"13","Mark Sanchez",2014,10,"PHI","CAR",1.69,0
"14","Mark Sanchez",2010,15,"NYJ","CHI",-0.96,-0.53
"15","Mark Sanchez",2009,16,"NYJ","CIN",-0.25,0
"16","Mark Sanchez",2010,11,"NYJ","CIN",-0.09,0
"17","Mark Sanchez",2010,9,"NYJ","CLE",1.52,-0.54
"18","Mark Sanchez",2016,9,"DAL","CLE",0.2,0
"19","Mark Sanchez",2011,1,"NYJ","DAL",1.48,-0.91
"20","Mark Sanchez",2014,12,"PHI","DAL",1.38,0
"21","Mark Sanchez",2014,14,"PHI","DAL",-1.67,0
"22","Mark Sanchez",2016,16,"DAL","PHI",-1.43,-0.33
"23","Mark Sanchez",2016,8,"DAL","CLE",0.2,0
"24","Mark Sanchez",2010,6,"NYJ","DEN",-0.92,0.12
"25","Mark Sanchez",2011,10,"NYJ","DEN",-1.84,-0.87
"26","Mark Sanchez",2010,8,"NYJ","DET",-1.29,0.75
"27","Mark Sanchez",2015,11,"PHI","DET",-2.36,0
"28","Mark Sanchez",2009,1,"NYJ","HOU",-0.48,0
"29","Mark Sanchez",2010,10,"NYJ","HOU",2.46,0.77
"30","Mark Sanchez",2012,5,"NYJ","HOU",0.34,-0.75
"31","Mark Sanchez",2014,9,"PHI","HOU",3.83,0
"32","Mark Sanchez",2009,15,"NYJ","IND",-0.14,0
"33","Mark Sanchez",2009,9,"NYJ","JAX",-0.58,0
"34","Mark Sanchez",2011,2,"NYJ","JAX",1.52,0
"35","Mark Sanchez",2012,13,"NYJ","JAX",-1.56,-0.14
"36","Mark Sanchez",2011,13,"NYJ","KAN",3.61,0
"37","Mark Sanchez",2012,10,"NYJ","STL",-0.58,0
"38","Mark Sanchez",2011,6,"NYJ","SDG",1.17,-0.02
"39","Mark Sanchez",2009,5,"NYJ","MIA",1.47,-0.45
"40","Mark Sanchez",2009,7,"NYJ","MIA",1.72,-0.74
"41","Mark Sanchez",2010,13,"NYJ","MIA",-2.78,-1.14
"42","Mark Sanchez",2010,3,"NYJ","MIA",0.42,-0.25
"43","Mark Sanchez",2011,16,"NYJ","MIA",-1.28,0.11
"44","Mark Sanchez",2011,5,"NYJ","MIA",2.05,0
"45","Mark Sanchez",2012,3,"NYJ","MIA",3.47,0.9
"46","Mark Sanchez",2012,7,"NYJ","MIA",-0.38,-0.23
"47","Mark Sanchez",2015,9,"PHI","MIA",-1.56,-0.7
"48","Mark Sanchez",2009,10,"NYJ","NWE",-0.88,0
"49","Mark Sanchez",2009,2,"NYJ","NWE",0.21,-0.16
"50","Mark Sanchez",2010,12,"NYJ","NWE",-2.31,0
"51","Mark Sanchez",2010,2,"NYJ","NWE",1.08,0
"52","Mark Sanchez",2011,9,"NYJ","NWE",-0.96,0
"53","Mark Sanchez",2012,11,"NYJ","NWE",-2.21,0
"54","Mark Sanchez",2009,4,"NYJ","NOR",-2.17,0
"55","Mark Sanchez",2011,15,"NYJ","NYG",-2,-0.3
"56","Mark Sanchez",2018,13,"WAS","NYG",-3.18,0
"57","Mark Sanchez",2009,3,"NYJ","TEN",2.04,-0.13
"58","Mark Sanchez",2009,8,"NYJ","MIA",-0.19,-0.74
"59","Mark Sanchez",2010,14,"NYJ","PIT",-1.26,-0.36
"60","Mark Sanchez",2010,5,"NYJ","MIN",-1.18,-0.1
"61","Mark Sanchez",2010,7,"NYJ","GNB",-2.39,-0.55
"62","Mark Sanchez",2011,12,"NYJ","WAS",0.08,0
"63","Mark Sanchez",2011,14,"NYJ","PHI",-2.74,0
"64","Mark Sanchez",2011,3,"NYJ","OAK",1.49,0
"65","Mark Sanchez",2011,7,"NYJ","SDG",-1.6,-0.02
"66","Mark Sanchez",2012,14,"NYJ","TEN",-2.45,-0.6
"67","Mark Sanchez",2012,2,"NYJ","PIT",-0.7,0
"68","Mark Sanchez",2012,4,"NYJ","SFO",-2.64,0
"69","Mark Sanchez",2012,6,"NYJ","IND",1.2,0
"70","Mark Sanchez",2012,8,"NYJ","MIA",-1.36,0
"71","Mark Sanchez",2012,9,"NYJ","SEA",-6.69,0
"72","Mark Sanchez",2014,11,"PHI","TEN",2.28,0
"73","Mark Sanchez",2014,13,"PHI","SEA",-0.78,0
"74","Mark Sanchez",2014,15,"PHI","WAS",0.12,-0.13
"75","Mark Sanchez",2014,8,"PHI","HOU",1.58,0
"76","Mark Sanchez",2015,10,"PHI","TAM",-4.05,0
"77","Mark Sanchez",2018,12,"WAS","PHI",-2.09,0
