"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Matt Cassel",2008,15,"NWE","ARI",3.76,0
"2","Matt Cassel",2010,10,"KAN","ARI",2.07,0
"3","Matt Cassel",2012,1,"KAN","ATL",-0.48,0
"4","Matt Cassel",2012,5,"KAN","BAL",-1.48,0
"5","Matt Cassel",2013,13,"MIN","BAL",-1.5,-0.7
"6","Matt Cassel",2007,10,"NWE","BUF",0.08,0
"7","Matt Cassel",2008,16,"NWE","BUF",1.46,0
"8","Matt Cassel",2008,9,"NWE","BUF",1.85,0
"9","Matt Cassel",2009,13,"KAN","BUF",-1.19,-0.05
"10","Matt Cassel",2010,7,"KAN","BUF",0.56,-0.99
"11","Matt Cassel",2011,1,"KAN","BUF",-2.68,0
"12","Matt Cassel",2012,2,"KAN","BUF",-0.25,0
"13","Matt Cassel",2013,5,"MIN","CAR",1.5,0
"14","Matt Cassel",2015,11,"DAL","CAR",0.5,0
"15","Matt Cassel",2013,12,"MIN","CHI",0.53,0.41
"16","Matt Cassel",2009,15,"KAN","CIN",-1.72,-0.51
"17","Matt Cassel",2012,10,"KAN","CIN",-1.19,0
"18","Matt Cassel",2013,15,"MIN","CIN",-2.29,0
"19","Matt Cassel",2009,14,"KAN","CLE",2.05,0.44
"20","Matt Cassel",2010,2,"KAN","CLE",-0.82,-0.09
"21","Matt Cassel",2009,5,"KAN","DAL",-0.28,0.3
"22","Matt Cassel",2015,12,"DAL","WAS",-0.78,-0.59
"23","Matt Cassel",2015,13,"DAL","GNB",-2.95,0
"24","Matt Cassel",2015,14,"DAL","NYJ",-0.95,0
"25","Matt Cassel",2015,6,"DAL","NYG",0.34,-0.48
"26","Matt Cassel",2015,7,"DAL","SEA",-0.87,-1.15
"27","Matt Cassel",2015,8,"DAL","PHI",-1.85,-1.11
"28","Matt Cassel",2015,9,"DAL","TAM",-0.54,-0.58
"29","Matt Cassel",2008,7,"NWE","DEN",4.53,0.87
"30","Matt Cassel",2009,12,"KAN","DEN",-2.37,0
"31","Matt Cassel",2009,16,"KAN","DEN",-2.24,0
"32","Matt Cassel",2010,12,"KAN","DEN",0.47,0
"33","Matt Cassel",2010,9,"KAN","DEN",3.79,0
"34","Matt Cassel",2011,9,"KAN","DEN",-1.91,0
"35","Matt Cassel",2011,2,"KAN","DET",-2.23,0
"36","Matt Cassel",2013,16,"MIN","DET",-0.36,0.23
"37","Matt Cassel",2018,1,"DET","NYJ",-0.78,0
"38","Matt Cassel",2018,15,"DET","MIN",-0.63,0
"39","Matt Cassel",2006,10,"NWE","GNB",-0.19,0
"40","Matt Cassel",2006,14,"NWE","HOU",0.08,0
"41","Matt Cassel",2010,6,"KAN","HOU",1.28,-0.6
"42","Matt Cassel",2016,16,"TEN","HOU",-0.15,0
"43","Matt Cassel",2017,4,"TEN","HOU",-2.77,0
"44","Matt Cassel",2008,8,"NWE","IND",-1.7,0.12
"45","Matt Cassel",2010,5,"KAN","IND",-1.79,-0.61
"46","Matt Cassel",2011,5,"KAN","IND",1.31,-0.06
"47","Matt Cassel",2009,8,"KAN","JAX",-1.25,0.38
"48","Matt Cassel",2016,15,"TEN","JAX",-0.84,0
"49","Matt Cassel",2016,7,"TEN","JAX",0.04,0
"50","Matt Cassel",2008,1,"NWE","KAN",1.1,0.1
"51","Matt Cassel",2009,10,"KAN","PIT",-1.33,-0.29
"52","Matt Cassel",2009,11,"KAN","SDG",-2.81,0
"53","Matt Cassel",2009,2,"KAN","OAK",-1.37,0.17
"54","Matt Cassel",2009,3,"KAN","PHI",-1.5,0
"55","Matt Cassel",2009,4,"KAN","NYG",-2.72,0
"56","Matt Cassel",2009,6,"KAN","WAS",-4.92,0.15
"57","Matt Cassel",2009,7,"KAN","SDG",-3.47,0
"58","Matt Cassel",2009,9,"KAN","OAK",-1.46,0
"59","Matt Cassel",2010,1,"KAN","SDG",-1.54,0
"60","Matt Cassel",2010,11,"KAN","SEA",-1,0
"61","Matt Cassel",2010,14,"KAN","STL",-0.6,0
"62","Matt Cassel",2010,15,"KAN","TEN",4.84,0
"63","Matt Cassel",2010,16,"KAN","OAK",-4.08,0
"64","Matt Cassel",2010,3,"KAN","SFO",0.66,0
"65","Matt Cassel",2010,4,"KAN","IND",-1.24,0
"66","Matt Cassel",2011,3,"KAN","SDG",-0.56,-0.19
"67","Matt Cassel",2011,4,"KAN","MIN",0.11,0
"68","Matt Cassel",2011,6,"KAN","OAK",-2.32,0
"69","Matt Cassel",2011,7,"KAN","SDG",0.06,0.09
"70","Matt Cassel",2011,8,"KAN","MIA",-3.23,0
"71","Matt Cassel",2012,3,"KAN","NOR",-0.94,-0.2
"72","Matt Cassel",2012,4,"KAN","SDG",-2.13,0
"73","Matt Cassel",2012,7,"KAN","OAK",0.24,0
"74","Matt Cassel",2012,8,"KAN","SDG",-2.87,0
"75","Matt Cassel",2012,9,"KAN","PIT",-0.68,0.09
"76","Matt Cassel",2014,1,"MIN","STL",0.74,0
"77","Matt Cassel",2008,6,"NWE","SDG",-0.29,0
"78","Matt Cassel",2006,13,"NWE","MIA",-0.94,0
"79","Matt Cassel",2007,7,"NWE","MIA",-0.29,0
"80","Matt Cassel",2008,11,"NWE","MIA",3.43,0
"81","Matt Cassel",2008,3,"NWE","MIA",-1.69,0
"82","Matt Cassel",2013,10,"MIN","SEA",-0.4,0
"83","Matt Cassel",2013,14,"MIN","PHI",1.92,0
"84","Matt Cassel",2013,4,"MIN","PIT",-1.08,-0.01
"85","Matt Cassel",2013,9,"MIN","WAS",0.1,-0.04
"86","Matt Cassel",2014,2,"MIN","NWE",-2.37,0
"87","Matt Cassel",2014,3,"MIN","NOR",-0.4,0
"88","Matt Cassel",2006,16,"NWE","TEN",-0.21,0
"89","Matt Cassel",2007,1,"NWE","NYJ",-0.38,0
"90","Matt Cassel",2007,8,"NWE","WAS",1.01,0
"91","Matt Cassel",2008,10,"NWE","NYJ",4.28,1.11
"92","Matt Cassel",2008,12,"NWE","PIT",-2.73,0
"93","Matt Cassel",2008,13,"NWE","SEA",-0.55,0
"94","Matt Cassel",2008,14,"NWE","OAK",3.12,0
"95","Matt Cassel",2008,2,"NWE","NYJ",-0.19,0
"96","Matt Cassel",2008,4,"NWE","SFO",0.86,0
"97","Matt Cassel",2008,5,"NWE","SDG",-1.99,0
"98","Matt Cassel",2013,11,"MIN","SEA",-0.4,0
"99","Matt Cassel",2016,8,"TEN","JAX",0.04,0
