"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Matt Hasselbeck",2006,13,"SEA","ARI",3.99,-0.67
"2","Matt Hasselbeck",2006,2,"SEA","ARI",-2.71,0
"3","Matt Hasselbeck",2007,13,"SEA","ARI",3.48,0
"4","Matt Hasselbeck",2007,2,"SEA","ARI",0.77,0.12
"5","Matt Hasselbeck",2008,10,"SEA","ARI",-1.73,-0.22
"6","Matt Hasselbeck",2009,5,"SEA","ARI",2.27,0
"7","Matt Hasselbeck",2009,9,"SEA","ARI",-2.78,0
"8","Matt Hasselbeck",2010,6,"SEA","ARI",-1.26,0
"9","Matt Hasselbeck",2010,9,"SEA","ARI",-0.52,0
"10","Matt Hasselbeck",2007,16,"SEA","ATL",0.25,0
"11","Matt Hasselbeck",2010,14,"SEA","ATL",-1.3,0
"12","Matt Hasselbeck",2011,10,"TEN","ATL",-0.68,0
"13","Matt Hasselbeck",2015,10,"IND","ATL",-1.7,0.1
"14","Matt Hasselbeck",2007,15,"SEA","BAL",2.83,0
"15","Matt Hasselbeck",2011,2,"TEN","BAL",0.18,0
"16","Matt Hasselbeck",2008,1,"SEA","BUF",-3.31,0
"17","Matt Hasselbeck",2011,12,"TEN","BUF",-0.39,0
"18","Matt Hasselbeck",2012,7,"TEN","BUF",-0.63,-0.04
"19","Matt Hasselbeck",2007,14,"SEA","CAR",1.6,1.2
"20","Matt Hasselbeck",2010,12,"SEA","CAR",-0.52,0
"21","Matt Hasselbeck",2011,9,"TEN","CAR",0.57,0
"22","Matt Hasselbeck",2006,4,"SEA","CHI",-1.95,0
"23","Matt Hasselbeck",2007,10,"SEA","CHI",2.63,-0.1
"24","Matt Hasselbeck",2012,8,"TEN","CHI",1.12,-0.29
"25","Matt Hasselbeck",2007,3,"SEA","CIN",1.6,1.05
"26","Matt Hasselbeck",2011,8,"TEN","CIN",0.69,-0.82
"27","Matt Hasselbeck",2007,8,"SEA","CLE",0.72,-0.87
"28","Matt Hasselbeck",2011,4,"TEN","CLE",1.5,0
"29","Matt Hasselbeck",2008,12,"SEA","DAL",-2.33,0
"30","Matt Hasselbeck",2009,7,"SEA","DAL",-1.16,0
"31","Matt Hasselbeck",2014,15,"IND","DAL",-0.83,0
"32","Matt Hasselbeck",2006,12,"SEA","DEN",0.98,-0.06
"33","Matt Hasselbeck",2010,2,"SEA","DEN",0.81,0
"34","Matt Hasselbeck",2011,3,"TEN","DEN",2.47,0
"35","Matt Hasselbeck",2006,1,"SEA","DET",-1.66,0.48
"36","Matt Hasselbeck",2009,8,"SEA","DET",3.5,-0.01
"37","Matt Hasselbeck",2006,11,"SEA","GNB",-0.44,0
"38","Matt Hasselbeck",2009,15,"SEA","GNB",-2.8,0
"39","Matt Hasselbeck",2009,13,"SEA","HOU",-2.41,0
"40","Matt Hasselbeck",2011,16,"TEN","HOU",3.03,0
"41","Matt Hasselbeck",2011,7,"TEN","HOU",-0.28,0
"42","Matt Hasselbeck",2012,4,"TEN","HOU",-1.28,0
"43","Matt Hasselbeck",2015,14,"IND","HOU",-1.46,-0.93
"44","Matt Hasselbeck",2015,5,"IND","HOU",-0.03,0.22
"45","Matt Hasselbeck",2011,14,"TEN","IND",-2.18,0
"46","Matt Hasselbeck",2013,16,"IND","JAX",0.33,0
"47","Matt Hasselbeck",2013,4,"IND","JAX",0.58,0
"48","Matt Hasselbeck",2013,9,"IND","STL",0.09,0
"49","Matt Hasselbeck",2014,16,"IND","TEN",1.43,0
"50","Matt Hasselbeck",2014,3,"IND","JAX",0.05,0
"51","Matt Hasselbeck",2015,11,"IND","TAM",3.51,0
"52","Matt Hasselbeck",2015,12,"IND","PIT",-2.73,0
"53","Matt Hasselbeck",2015,13,"IND","JAX",-3.49,0
"54","Matt Hasselbeck",2015,15,"IND","MIA",0.04,0
"55","Matt Hasselbeck",2015,4,"IND","JAX",0.5,-0.43
"56","Matt Hasselbeck",2011,1,"TEN","JAX",1.95,1.14
"57","Matt Hasselbeck",2011,15,"TEN","JAX",4.87,0.37
"58","Matt Hasselbeck",2010,11,"SEA","KAN",-1.55,0
"59","Matt Hasselbeck",2006,6,"SEA","STL",2.33,-0.19
"60","Matt Hasselbeck",2007,11,"SEA","STL",-0.86,0
"61","Matt Hasselbeck",2007,7,"SEA","STL",1.1,0
"62","Matt Hasselbeck",2008,3,"SEA","STL",1.61,0
"63","Matt Hasselbeck",2009,1,"SEA","STL",2.78,0
"64","Matt Hasselbeck",2009,11,"SEA","STL",-1.59,0
"65","Matt Hasselbeck",2010,4,"SEA","STL",-1.85,0
"66","Matt Hasselbeck",2013,10,"IND","STL",0.09,0
"67","Matt Hasselbeck",2006,15,"SEA","SDG",-0.01,-0.42
"68","Matt Hasselbeck",2010,3,"SEA","SDG",-1.65,-0.16
"69","Matt Hasselbeck",2012,9,"TEN","MIA",-2.9,0
"70","Matt Hasselbeck",2009,10,"SEA","MIN",-1.15,0
"71","Matt Hasselbeck",2012,5,"TEN","MIN",-3.38,-0.12
"72","Matt Hasselbeck",2012,1,"TEN","NWE",-1.07,0
"73","Matt Hasselbeck",2007,5,"SEA","NOR",0.6,0
"74","Matt Hasselbeck",2010,10,"SEA","NOR",-0.94,0
"75","Matt Hasselbeck",2011,13,"TEN","NOR",-0.4,0.03
"76","Matt Hasselbeck",2006,3,"SEA","NYG",3.62,0
"77","Matt Hasselbeck",2008,4,"SEA","NYG",0.69,0
"78","Matt Hasselbeck",2010,8,"SEA","OAK",-0.91,0
"79","Matt Hasselbeck",2007,12,"SEA","PHI",-2.5,0
"80","Matt Hasselbeck",2011,5,"TEN","PIT",-2.79,0
"81","Matt Hasselbeck",2006,14,"SEA","SFO",-0.71,0
"82","Matt Hasselbeck",2006,16,"SEA","TAM",-0.22,0
"83","Matt Hasselbeck",2006,5,"SEA","STL",2.63,-0.19
"84","Matt Hasselbeck",2007,1,"SEA","TAM",0.83,0
"85","Matt Hasselbeck",2007,4,"SEA","SFO",2.09,0
"86","Matt Hasselbeck",2007,6,"SEA","NOR",-3.34,0
"87","Matt Hasselbeck",2007,9,"SEA","SFO",3.53,0
"88","Matt Hasselbeck",2008,11,"SEA","WAS",-1.56,-0.25
"89","Matt Hasselbeck",2008,2,"SEA","SFO",-2.57,-0.42
"90","Matt Hasselbeck",2009,12,"SEA","SFO",-1.38,-0.2
"91","Matt Hasselbeck",2009,14,"SEA","TAM",-2.81,0
"92","Matt Hasselbeck",2009,16,"SEA","TEN",-1.6,-0.56
"93","Matt Hasselbeck",2009,2,"SEA","SFO",-0.92,0
"94","Matt Hasselbeck",2009,6,"SEA","ARI",-3.36,0
"95","Matt Hasselbeck",2010,1,"SEA","SFO",1.97,0
"96","Matt Hasselbeck",2010,13,"SEA","SFO",-3.28,0
"97","Matt Hasselbeck",2010,15,"SEA","TAM",-0.05,0
"98","Matt Hasselbeck",2010,5,"SEA","CHI",-1.09,0
"99","Matt Hasselbeck",2010,7,"SEA","OAK",-0.91,0
"100","Matt Hasselbeck",2011,11,"TEN","TAM",-1.4,0.8
"101","Matt Hasselbeck",2011,6,"TEN","HOU",-1.95,0
"102","Matt Hasselbeck",2012,10,"TEN","MIA",-0.21,0
"103","Matt Hasselbeck",2012,6,"TEN","PIT",2.2,-0.12
