"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Matt Leinart",2006,10,"ARI","DET",1.92,0
"2","Matt Leinart",2006,11,"ARI","MIN",-1.55,0.8
"3","Matt Leinart",2006,12,"ARI","STL",0.95,0
"4","Matt Leinart",2006,13,"ARI","SEA",-0.7,0
"5","Matt Leinart",2006,14,"ARI","DEN",-1.68,0
"6","Matt Leinart",2006,15,"ARI","SFO",0.91,0
"7","Matt Leinart",2006,4,"ARI","ATL",-0.9,0.42
"8","Matt Leinart",2006,5,"ARI","KAN",0,0.42
"9","Matt Leinart",2006,6,"ARI","CHI",-5.39,-1.3
"10","Matt Leinart",2006,7,"ARI","OAK",-5.01,0
"11","Matt Leinart",2006,8,"ARI","GNB",-2.58,0
"12","Matt Leinart",2006,9,"ARI","DAL",-2.27,0
"13","Matt Leinart",2007,1,"ARI","SFO",-1.55,-0.5
"14","Matt Leinart",2007,2,"ARI","SEA",0.7,0
"15","Matt Leinart",2007,3,"ARI","BAL",-2.13,0
"16","Matt Leinart",2007,4,"ARI","PIT",0.78,0
"17","Matt Leinart",2007,5,"ARI","STL",-0.29,0
"18","Matt Leinart",2008,14,"ARI","MIN",-0.5,0
"19","Matt Leinart",2008,15,"ARI","NWE",-0.54,0
"20","Matt Leinart",2008,16,"ARI","SEA",0.23,0
"21","Matt Leinart",2008,2,"ARI","MIA",0.13,0
"22","Matt Leinart",2009,10,"ARI","STL",-0.64,0.13
"23","Matt Leinart",2009,11,"ARI","TEN",0.12,0.08
"24","Matt Leinart",2009,16,"ARI","GNB",-2.68,0
"25","Matt Leinart",2009,2,"ARI","JAX",-0.71,0
"26","Matt Leinart",2009,3,"ARI","IND",-0.33,0
"27","Matt Leinart",2009,5,"ARI","SEA",0.05,0
"28","Matt Leinart",2009,8,"ARI","CHI",-0.87,0
"29","Matt Leinart",2012,9,"OAK","BAL",-0.16,0
"30","Matt Leinart",2012,15,"OAK","CAR",-2.11,0
"31","Matt Leinart",2009,6,"ARI","SEA",0.05,0
