"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Matt Moore",2009,7,"CAR","ARI",-0.1,0
"2","Matt Moore",2016,13,"MIA","ARI",-0.36,-0.23
"3","Matt Moore",2007,9,"CAR","ATL",0.38,0.38
"4","Matt Moore",2017,8,"MIA","BAL",-3.59,0
"5","Matt Moore",2011,10,"MIA","BUF",2.21,0
"6","Matt Moore",2011,14,"MIA","BUF",0.04,0
"7","Matt Moore",2013,15,"BUF","MIA",-0.23,0
"8","Matt Moore",2016,15,"MIA","BUF",0.18,-0.2
"9","Matt Moore",2007,11,"CAR","NOR",-0.52,0
"10","Matt Moore",2007,13,"CAR","JAX",-1.06,0
"11","Matt Moore",2007,14,"CAR","SEA",0.73,0
"12","Matt Moore",2007,15,"CAR","DAL",-1.17,0
"13","Matt Moore",2007,16,"CAR","TAM",1.3,0
"14","Matt Moore",2007,5,"CAR","NOR",0.42,0
"15","Matt Moore",2007,8,"CAR","TEN",-0.18,0
"16","Matt Moore",2009,1,"CAR","PHI",-1.12,0
"17","Matt Moore",2009,12,"CAR","TAM",0.21,0
"18","Matt Moore",2009,13,"CAR","NWE",-1.46,0
"19","Matt Moore",2009,14,"CAR","MIN",0.3,0
"20","Matt Moore",2009,15,"CAR","NYG",1.5,0
"21","Matt Moore",2009,16,"CAR","NOR",0.43,0
"22","Matt Moore",2010,1,"CAR","NYG",1.99,0
"23","Matt Moore",2010,2,"CAR","TAM",-0.67,0
"24","Matt Moore",2010,5,"CAR","CHI",-0.81,0
"25","Matt Moore",2010,6,"CAR","SFO",-1.18,0.62
"26","Matt Moore",2010,7,"CAR","STL",-3.49,0.62
"27","Matt Moore",2010,8,"CAR","NOR",-3.31,0
"28","Matt Moore",2011,11,"MIA","DAL",-0.74,-0.09
"29","Matt Moore",2011,6,"MIA","DEN",-0.76,0
"30","Matt Moore",2019,7,"KAN","DEN",-0.33,0
"31","Matt Moore",2019,8,"KAN","GNB",0.28,0
"32","Matt Moore",2015,7,"MIA","HOU",0.24,0
"33","Matt Moore",2019,1,"KAN","JAX",-0.1,0
"34","Matt Moore",2011,8,"MIA","KAN",2.53,0
"35","Matt Moore",2019,9,"KAN","MIN",-0.55,-0.12
"36","Matt Moore",2012,6,"MIA","STL",0.08,0
"37","Matt Moore",2011,4,"MIA","SDG",-1.53,0
"38","Matt Moore",2014,9,"MIA","SDG",-0.23,0
"39","Matt Moore",2010,11,"MIA","OAK",-0.17,0
"40","Matt Moore",2011,12,"MIA","OAK",0.81,0
"41","Matt Moore",2011,13,"MIA","PHI",-2.97,0
"42","Matt Moore",2011,15,"MIA","NWE",0.92,0.66
"43","Matt Moore",2011,16,"MIA","NYJ",-0.75,0
"44","Matt Moore",2011,5,"MIA","NYJ",-2.08,0
"45","Matt Moore",2011,7,"MIA","NYG",-2.21,-0.67
"46","Matt Moore",2011,9,"MIA","WAS",0.7,0
"47","Matt Moore",2012,11,"MIA","SEA",-0.07,0
"48","Matt Moore",2012,7,"MIA","NYJ",0.11,0
"49","Matt Moore",2012,9,"MIA","TEN",-0.33,0
"50","Matt Moore",2014,8,"MIA","SDG",-0.23,0
"51","Matt Moore",2015,6,"MIA","HOU",0.24,0
"52","Matt Moore",2016,14,"MIA","NYJ",3.3,0
"53","Matt Moore",2016,16,"MIA","NWE",-0.22,0
"54","Matt Moore",2017,10,"MIA","TAM",-0.15,0.66
"55","Matt Moore",2017,11,"MIA","NWE",-2.11,0
"56","Matt Moore",2017,6,"MIA","NYJ",2.02,0.22
"57","Matt Moore",2017,7,"MIA","BAL",-1.57,0.22
"58","Matt Moore",2007,4,"CAR","NOR",0.42,0
"59","Matt Moore",2010,9,"CAR","NOR",-1,0
"60","Matt Moore",2012,8,"MIA","NYJ",0.11,0
"61","Matt Moore",2012,10,"MIA","TEN",-0.33,0
