"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Matt Ryan",2010,2,"ATL","ARI",3.51,0
"2","Matt Ryan",2012,10,"ATL","ARI",-4.32,0
"3","Matt Ryan",2013,8,"ATL","ARI",-6.17,0
"4","Matt Ryan",2014,12,"ATL","ARI",4.22,0
"5","Matt Ryan",2016,11,"ATL","ARI",1.66,0
"6","Matt Ryan",2018,14,"ATL","ARI",-0.2,0
"7","Matt Ryan",2019,6,"ATL","ARI",5.71,1.17
"8","Matt Ryan",2008,1,"ATL","DET",0.2,0
"9","Matt Ryan",2008,10,"ATL","DEN",-2.86,-0.92
"10","Matt Ryan",2008,11,"ATL","CAR",1.3,0
"11","Matt Ryan",2008,12,"ATL","SDG",0.28,0
"12","Matt Ryan",2008,13,"ATL","NOR",0.61,-0.22
"13","Matt Ryan",2008,14,"ATL","TAM",-0.06,-0.26
"14","Matt Ryan",2008,15,"ATL","MIN",0.8,-0.23
"15","Matt Ryan",2008,16,"ATL","STL",-0.12,0.24
"16","Matt Ryan",2008,2,"ATL","TAM",-5.4,0
"17","Matt Ryan",2008,3,"ATL","KAN",1.62,0
"18","Matt Ryan",2008,4,"ATL","CAR",-2.96,0
"19","Matt Ryan",2008,5,"ATL","GNB",4.07,0
"20","Matt Ryan",2008,6,"ATL","CHI",1.14,-0.2
"21","Matt Ryan",2008,7,"ATL","PHI",-0.9,0
"22","Matt Ryan",2008,8,"ATL","OAK",1.07,0
"23","Matt Ryan",2008,9,"ATL","NOR",2.63,0
"24","Matt Ryan",2009,1,"ATL","MIA",1.58,0
"25","Matt Ryan",2009,10,"ATL","NYG",-3.07,0.03
"26","Matt Ryan",2009,11,"ATL","TAM",-1,0
"27","Matt Ryan",2009,14,"ATL","NYJ",-1.45,0.01
"28","Matt Ryan",2009,15,"ATL","BUF",1.51,0
"29","Matt Ryan",2009,16,"ATL","TAM",1.82,-0.1
"30","Matt Ryan",2009,2,"ATL","CAR",3.48,0
"31","Matt Ryan",2009,3,"ATL","NWE",1.38,0
"32","Matt Ryan",2009,4,"ATL","SFO",4.88,0
"33","Matt Ryan",2009,5,"ATL","CHI",3.01,0.18
"34","Matt Ryan",2009,6,"ATL","DAL",-0.26,0
"35","Matt Ryan",2009,7,"ATL","NOR",-2.86,-0.09
"36","Matt Ryan",2009,8,"ATL","WAS",1,0
"37","Matt Ryan",2009,9,"ATL","CAR",-1.14,-0.45
"38","Matt Ryan",2010,1,"ATL","PIT",-0.32,-0.39
"39","Matt Ryan",2010,10,"ATL","STL",3.29,0
"40","Matt Ryan",2010,11,"ATL","GNB",-2.13,-0.61
"41","Matt Ryan",2010,12,"ATL","TAM",1.07,0
"42","Matt Ryan",2010,13,"ATL","CAR",1.34,0
"43","Matt Ryan",2010,14,"ATL","SEA",1.82,0
"44","Matt Ryan",2010,15,"ATL","NOR",-0.49,-0.66
"45","Matt Ryan",2010,16,"ATL","CAR",3.54,0
"46","Matt Ryan",2010,3,"ATL","NOR",-1.88,-0.39
"47","Matt Ryan",2010,4,"ATL","SFO",1.34,0.86
"48","Matt Ryan",2010,5,"ATL","CLE",0.28,0
"49","Matt Ryan",2010,6,"ATL","PHI",1.98,0
"50","Matt Ryan",2010,7,"ATL","CIN",0.03,0
"51","Matt Ryan",2010,8,"ATL","TAM",0.8,0
"52","Matt Ryan",2010,9,"ATL","BAL",0.75,0.73
"53","Matt Ryan",2011,1,"ATL","CHI",-3.58,0
"54","Matt Ryan",2011,10,"ATL","TEN",4.71,0.75
"55","Matt Ryan",2011,11,"ATL","MIN",2.75,0
"56","Matt Ryan",2011,12,"ATL","HOU",-2.31,-0.78
"57","Matt Ryan",2011,13,"ATL","CAR",1.49,0.25
"58","Matt Ryan",2011,14,"ATL","JAX",3.02,0
"59","Matt Ryan",2011,15,"ATL","NOR",-1.84,0
"60","Matt Ryan",2011,16,"ATL","TAM",1.86,0
"61","Matt Ryan",2011,2,"ATL","PHI",-0.63,0
"62","Matt Ryan",2011,3,"ATL","TAM",-2.78,0
"63","Matt Ryan",2011,4,"ATL","SEA",2.05,-0.2
"64","Matt Ryan",2011,5,"ATL","GNB",-1.28,0
"65","Matt Ryan",2011,6,"ATL","CAR",1.1,0.16
"66","Matt Ryan",2011,7,"ATL","DET",-0.36,-0.11
"67","Matt Ryan",2011,8,"ATL","IND",0.06,0
"68","Matt Ryan",2011,9,"ATL","NOR",3.21,0.65
"69","Matt Ryan",2012,1,"ATL","KAN",6.02,0
"70","Matt Ryan",2012,11,"ATL","TAM",3.33,0.25
"71","Matt Ryan",2012,12,"ATL","NOR",-0.83,0
"72","Matt Ryan",2012,13,"ATL","CAR",2.71,0
"73","Matt Ryan",2012,15,"ATL","DET",3.93,0
"74","Matt Ryan",2012,16,"ATL","TAM",-3.37,-0.86
"75","Matt Ryan",2012,2,"ATL","DEN",2.86,0
"76","Matt Ryan",2012,3,"ATL","SDG",1.77,0
"77","Matt Ryan",2012,4,"ATL","CAR",3.52,0.42
"78","Matt Ryan",2012,5,"ATL","WAS",0.82,-0.03
"79","Matt Ryan",2012,6,"ATL","OAK",-1.98,-0.61
"80","Matt Ryan",2012,7,"ATL","PHI",1.36,0
"81","Matt Ryan",2012,8,"ATL","DAL",3.23,0.37
"82","Matt Ryan",2012,9,"ATL","NOR",2.04,-0.74
"83","Matt Ryan",2013,1,"ATL","NOR",-0.8,-0.07
"84","Matt Ryan",2013,10,"ATL","TAM",-1.54,0
"85","Matt Ryan",2013,11,"ATL","NOR",-0.74,-0.06
"86","Matt Ryan",2013,12,"ATL","BUF",-2.87,-0.74
"87","Matt Ryan",2013,13,"ATL","GNB",-0.81,-0.45
"88","Matt Ryan",2013,14,"ATL","WAS",-0.05,0
"89","Matt Ryan",2013,15,"ATL","SFO",-0.14,0.62
"90","Matt Ryan",2013,16,"ATL","CAR",0.96,-0.13
"91","Matt Ryan",2013,2,"ATL","STL",1.9,0.47
"92","Matt Ryan",2013,3,"ATL","MIA",1.47,-0.66
"93","Matt Ryan",2013,4,"ATL","NWE",1.48,-0.17
"94","Matt Ryan",2013,5,"ATL","NYJ",2.69,0.82
"95","Matt Ryan",2013,6,"ATL","TAM",3.88,0
"96","Matt Ryan",2013,7,"ATL","ARI",-3.9,0
"97","Matt Ryan",2013,9,"ATL","SEA",-0.98,0
"98","Matt Ryan",2014,1,"ATL","NOR",0.87,-0.21
"99","Matt Ryan",2014,10,"ATL","CAR",-1.5,-0.2
"100","Matt Ryan",2014,11,"ATL","CLE",0.98,-0.35
"101","Matt Ryan",2014,13,"ATL","GNB",0.45,0.31
"102","Matt Ryan",2014,14,"ATL","PIT",-0.34,0
"103","Matt Ryan",2014,15,"ATL","NOR",0.88,-0.08
"104","Matt Ryan",2014,16,"ATL","CAR",-3.73,0
"105","Matt Ryan",2014,2,"ATL","CIN",-2.18,0
"106","Matt Ryan",2014,3,"ATL","TAM",0.82,0
"107","Matt Ryan",2014,4,"ATL","MIN",1.82,0
"108","Matt Ryan",2014,5,"ATL","NYG",-0.86,0
"109","Matt Ryan",2014,6,"ATL","CHI",-1.15,0
"110","Matt Ryan",2014,7,"ATL","BAL",-4.85,0
"111","Matt Ryan",2014,8,"ATL","DET",-0.1,0.31
"112","Matt Ryan",2014,9,"ATL","TAM",0.98,0
"113","Matt Ryan",2015,1,"ATL","PHI",-1.06,0
"114","Matt Ryan",2015,10,"ATL","IND",1.18,0.01
"115","Matt Ryan",2015,11,"ATL","MIN",0.9,0
"116","Matt Ryan",2015,12,"ATL","TAM",-1.21,-0.46
"117","Matt Ryan",2015,13,"ATL","CAR",-2.06,0
"118","Matt Ryan",2015,14,"ATL","JAX",0.25,-0.01
"119","Matt Ryan",2015,15,"ATL","CAR",0.87,-0.16
"120","Matt Ryan",2015,16,"ATL","NOR",3.3,-0.79
"121","Matt Ryan",2015,2,"ATL","NYG",-1.19,0.43
"122","Matt Ryan",2015,3,"ATL","DAL",2.15,0
"123","Matt Ryan",2015,4,"ATL","HOU",-0.87,0
"124","Matt Ryan",2015,5,"ATL","WAS",-0.22,1.09
"125","Matt Ryan",2015,6,"ATL","NOR",-0.31,0.12
"126","Matt Ryan",2015,7,"ATL","TEN",1.62,1.55
"127","Matt Ryan",2015,8,"ATL","TAM",0.64,1.43
"128","Matt Ryan",2015,9,"ATL","SFO",-0.03,-0.18
"129","Matt Ryan",2016,1,"ATL","TAM",2.18,-0.44
"130","Matt Ryan",2016,10,"ATL","PHI",-0.56,-0.54
"131","Matt Ryan",2016,12,"ATL","KAN",0.5,0
"132","Matt Ryan",2016,13,"ATL","LAR",2.58,0
"133","Matt Ryan",2016,14,"ATL","SFO",3.94,0
"134","Matt Ryan",2016,15,"ATL","CAR",2.94,0
"135","Matt Ryan",2016,16,"ATL","NOR",6.34,0
"136","Matt Ryan",2016,2,"ATL","OAK",1,0.27
"137","Matt Ryan",2016,3,"ATL","NOR",0.64,0
"138","Matt Ryan",2016,4,"ATL","CAR",1.86,-0.19
"139","Matt Ryan",2016,5,"ATL","DEN",-0.81,-0.86
"140","Matt Ryan",2016,6,"ATL","SEA",0.14,-0.86
"141","Matt Ryan",2016,7,"ATL","SDG",-0.39,0.74
"142","Matt Ryan",2016,8,"ATL","GNB",7.83,0.9
"143","Matt Ryan",2016,9,"ATL","TAM",4.01,-0.54
"144","Matt Ryan",2017,1,"ATL","CHI",2.59,0
"145","Matt Ryan",2017,10,"ATL","SEA",-1.09,-0.19
"146","Matt Ryan",2017,11,"ATL","TAM",3.01,0.33
"147","Matt Ryan",2017,12,"ATL","MIN",-0.51,0
"148","Matt Ryan",2017,13,"ATL","NOR",1.17,-0.11
"149","Matt Ryan",2017,14,"ATL","TAM",0.76,-0.1
"150","Matt Ryan",2017,15,"ATL","NOR",0.84,0
"151","Matt Ryan",2017,16,"ATL","CAR",2.26,0
"152","Matt Ryan",2017,2,"ATL","GNB",2.15,0
"153","Matt Ryan",2017,3,"ATL","DET",0.47,0.05
"154","Matt Ryan",2017,4,"ATL","BUF",-0.58,-0.89
"155","Matt Ryan",2017,5,"ATL","MIA",1.45,0.08
"156","Matt Ryan",2017,6,"ATL","NWE",-0.77,0
"157","Matt Ryan",2017,7,"ATL","NYJ",1.13,0.23
"158","Matt Ryan",2017,8,"ATL","CAR",2.31,0.73
"159","Matt Ryan",2017,9,"ATL","DAL",5,0.5
"160","Matt Ryan",2018,1,"ATL","PHI",-3.18,-1.2
"161","Matt Ryan",2018,10,"ATL","DAL",5.18,1.56
"162","Matt Ryan",2018,11,"ATL","NOR",-2.31,0
"163","Matt Ryan",2018,12,"ATL","BAL",-3.21,0
"164","Matt Ryan",2018,13,"ATL","GNB",-1.37,0
