"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Matthew Stafford",2012,14,"DET","ARI",-4.03,0
"2","Matthew Stafford",2013,2,"DET","ARI",1.19,-0.47
"3","Matthew Stafford",2014,10,"DET","ARI",-2.06,-0.14
"4","Matthew Stafford",2015,5,"DET","ARI",-2.52,0
"5","Matthew Stafford",2017,1,"DET","ARI",0.62,0
"6","Matthew Stafford",2018,13,"DET","ARI",-1.49,0
"7","Matthew Stafford",2019,1,"DET","ARI",1.34,-1.06
"8","Matthew Stafford",2022,3,"LAR","ARI",2.5,0
"9","Matthew Stafford",2011,7,"DET","ATL",-2.18,-0.58
"10","Matthew Stafford",2012,15,"DET","ATL",-3.02,0
"11","Matthew Stafford",2014,8,"DET","ATL",0.57,0.59
"12","Matthew Stafford",2017,3,"DET","ATL",-1.51,-0.77
"13","Matthew Stafford",2020,7,"DET","ATL",0.39,0.47
"14","Matthew Stafford",2022,2,"LAR","ATL",3.54,-0.39
"15","Matthew Stafford",2013,14,"DET","BAL",0.54,1.27
"16","Matthew Stafford",2017,12,"DET","BAL",-1.06,0
"17","Matthew Stafford",2014,5,"DET","BUF",-0.76,-0.33
"18","Matthew Stafford",2018,14,"DET","BUF",-0.6,-0.08
"19","Matthew Stafford",2022,1,"LAR","BUF",-2.9,0
"20","Matthew Stafford",2011,10,"DET","CAR",7.24,0.8
"21","Matthew Stafford",2014,2,"DET","CAR",-3.29,0
"22","Matthew Stafford",2017,5,"DET","CAR",-3.62,0.99
"23","Matthew Stafford",2018,10,"DET","CAR",-0.23,-0.09
"24","Matthew Stafford",2020,11,"DET","CAR",-2.82,0
"25","Matthew Stafford",2022,6,"LAR","CAR",1.96,0
"26","Matthew Stafford",2009,4,"DET","CHI",-0.17,0
"27","Matthew Stafford",2010,1,"DET","CHI",-0.99,0
"28","Matthew Stafford",2011,5,"DET","CHI",-0.93,0
"29","Matthew Stafford",2011,9,"DET","CHI",-6.22,0
"30","Matthew Stafford",2012,16,"DET","CHI",-0.03,-0.08
"31","Matthew Stafford",2012,6,"DET","CHI",-2.09,0.26
"32","Matthew Stafford",2013,4,"DET","CHI",1.97,0
"33","Matthew Stafford",2013,9,"DET","CHI",1.76,0.62
"34","Matthew Stafford",2014,12,"DET","CHI",3.55,0
"35","Matthew Stafford",2014,15,"DET","CHI",-1.45,-0.01
"36","Matthew Stafford",2015,16,"DET","CHI",2.86,-0.43
"37","Matthew Stafford",2015,6,"DET","CHI",5.18,1.51
"38","Matthew Stafford",2016,13,"DET","CHI",-0.39,0.93
"39","Matthew Stafford",2016,4,"DET","CHI",-0.4,-0.02
"40","Matthew Stafford",2017,10,"DET","CHI",2.78,-0.01
"41","Matthew Stafford",2017,14,"DET","CHI",1.62,0
"42","Matthew Stafford",2018,11,"DET","CHI",-2.56,-0.5
"43","Matthew Stafford",2018,9,"DET","CHI",-3.71,0
"44","Matthew Stafford",2009,12,"DET","CIN",0.7,0
"45","Matthew Stafford",2013,7,"DET","CIN",1.88,-0.27
"46","Matthew Stafford",2017,15,"DET","CIN",-0.61,-0.18
"47","Matthew Stafford",2009,10,"DET","CLE",4.08,0.65
"48","Matthew Stafford",2013,6,"DET","CLE",3.1,0.5
"49","Matthew Stafford",2017,9,"DET","CLE",-1.92,0
"50","Matthew Stafford",2011,4,"DET","DAL",-0.9,0.27
"51","Matthew Stafford",2013,8,"DET","DAL",3.05,1.12
"52","Matthew Stafford",2016,15,"DET","DAL",-3.72,0
"53","Matthew Stafford",2018,4,"DET","DAL",0.82,0.97
"54","Matthew Stafford",2022,5,"LAR","DAL",-4.34,0
"55","Matthew Stafford",2015,3,"DET","DEN",-2.13,-0.26
"56","Matthew Stafford",2009,1,"DET","NOR",-3.8,0
"57","Matthew Stafford",2009,11,"DET","GNB",-3.74,0
"58","Matthew Stafford",2009,2,"DET","MIN",-1.45,0
"59","Matthew Stafford",2009,3,"DET","WAS",0.32,0.21
"60","Matthew Stafford",2009,7,"DET","STL",-0.5,-0.93
"61","Matthew Stafford",2009,8,"DET","SEA",-3.19,-0.97
"62","Matthew Stafford",2009,9,"DET","MIN",-2.43,0
"63","Matthew Stafford",2010,7,"DET","WAS",-0.45,0.75
"64","Matthew Stafford",2010,8,"DET","NYJ",2.41,0.75
"65","Matthew Stafford",2011,1,"DET","TAM",1.14,0
"66","Matthew Stafford",2011,11,"DET","GNB",-2.31,0
"67","Matthew Stafford",2011,12,"DET","NOR",-1.39,0
"68","Matthew Stafford",2011,13,"DET","MIN",-3.51,0
