"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Michael Vick",2006,4,"ATL","ARI",0.11,0
"2","Michael Vick",2011,9,"PHI","ARI",-2.96,-0.82
"3","Michael Vick",2012,3,"PHI","ARI",-2.61,0
"4","Michael Vick",2015,6,"PIT","ARI",-0.86,0
"5","Michael Vick",2006,1,"ATL","CAR",0.54,0
"6","Michael Vick",2006,10,"ATL","BAL",-1.1,0
"7","Michael Vick",2006,11,"ATL","NOR",-0.9,0
"8","Michael Vick",2006,12,"ATL","WAS",-4.02,0
"9","Michael Vick",2006,13,"ATL","TAM",-0.09,0
"10","Michael Vick",2006,14,"ATL","DAL",-0.37,0
"11","Michael Vick",2006,15,"ATL","CAR",-0.95,0.21
"12","Michael Vick",2006,16,"ATL","PHI",-0.68,0
"13","Michael Vick",2006,2,"ATL","TAM",3.36,0
"14","Michael Vick",2006,3,"ATL","NOR",-3.49,0
"15","Michael Vick",2006,5,"ATL","NYG",-0.19,0
"16","Michael Vick",2006,6,"ATL","PIT",-0.1,-0.33
"17","Michael Vick",2006,7,"ATL","CIN",1.12,0.2
"18","Michael Vick",2006,8,"ATL","DET",-1.22,0
"19","Michael Vick",2006,9,"ATL","CLE",-1.74,-0.47
"20","Michael Vick",2009,12,"PHI","ATL",1.37,0
"21","Michael Vick",2011,2,"PHI","ATL",4.63,0
"22","Michael Vick",2012,7,"PHI","ATL",-1.6,0
"23","Michael Vick",2012,2,"PHI","BAL",2.51,1.44
"24","Michael Vick",2015,4,"PIT","BAL",-2.45,-0.21
"25","Michael Vick",2011,5,"PHI","BUF",0.3,-0.48
"26","Michael Vick",2014,11,"NYJ","BUF",-2.47,0
"27","Michael Vick",2014,8,"NYJ","BUF",-3.76,0
"28","Michael Vick",2009,10,"PHI","CHI",0.28,0
"29","Michael Vick",2010,11,"PHI","CHI",1.15,1.06
"30","Michael Vick",2011,8,"PHI","CHI",-1.69,-0.74
"31","Michael Vick",2014,3,"NYJ","CHI",-0.1,0
"32","Michael Vick",2012,1,"PHI","CLE",-2.86,0.9
"33","Michael Vick",2009,8,"PHI","DAL",-0.09,0
"34","Michael Vick",2010,13,"PHI","DAL",-0.42,0.17
"35","Michael Vick",2011,15,"PHI","DAL",1.7,0
"36","Michael Vick",2011,7,"PHI","DAL",3.48,0
"37","Michael Vick",2012,9,"PHI","DAL",1.42,0
"38","Michael Vick",2013,4,"PHI","DEN",-1.46,0
"39","Michael Vick",2010,2,"PHI","DET",2.08,0
"40","Michael Vick",2012,5,"PHI","DET",2.33,-0.59
"41","Michael Vick",2010,1,"PHI","GNB",-0.72,-0.35
"42","Michael Vick",2014,2,"NYJ","GNB",-0.13,0
"43","Michael Vick",2010,12,"PHI","HOU",3.16,0
"44","Michael Vick",2010,8,"PHI","IND",0.6,-0.14
"45","Michael Vick",2010,3,"PHI","JAX",2.22,0
"46","Michael Vick",2009,3,"PHI","KAN",-0.09,0
"47","Michael Vick",2013,3,"PHI","KAN",-1.56,0
"48","Michael Vick",2011,1,"PHI","STL",1.41,0
"49","Michael Vick",2015,3,"PIT","STL",-0.42,0.06
"50","Michael Vick",2009,9,"PHI","SDG",-0.08,0
"51","Michael Vick",2013,2,"PHI","SDG",3.52,0.36
"52","Michael Vick",2014,5,"NYJ","SDG",-1.89,0
"53","Michael Vick",2015,5,"PIT","SDG",-2.07,0.01
"54","Michael Vick",2011,13,"PHI","MIA",-0.53,0
"55","Michael Vick",2010,15,"PHI","MIN",-5.57,0
"56","Michael Vick",2014,7,"NYJ","NWE",-0.29,0
"57","Michael Vick",2012,8,"PHI","NOR",-0.52,0
"58","Michael Vick",2009,13,"PHI","NYG",1.15,0
"59","Michael Vick",2010,10,"PHI","NYG",0.02,0
"60","Michael Vick",2010,14,"PHI","NYG",0.44,0.71
"61","Michael Vick",2011,3,"PHI","NYG",-1.03,0
"62","Michael Vick",2012,16,"PHI","NYG",-2.91,0
"63","Michael Vick",2012,4,"PHI","NYG",1.48,0
"64","Michael Vick",2013,5,"PHI","NYG",0.17,0
"65","Michael Vick",2013,8,"PHI","NYG",-1.43,0
"66","Michael Vick",2011,14,"PHI","NYJ",2.85,0
"67","Michael Vick",2014,1,"NYJ","OAK",-0.09,0
"68","Michael Vick",2014,10,"NYJ","PIT",0.45,0
"69","Michael Vick",2014,9,"NYJ","KAN",-1.35,0
"70","Michael Vick",2009,6,"PHI","OAK",-0.25,0
"71","Michael Vick",2009,11,"PHI","WAS",-0.16,0
"72","Michael Vick",2009,14,"PHI","SFO",-0.27,0
"73","Michael Vick",2009,4,"PHI","TAM",-0.55,0
"74","Michael Vick",2009,5,"PHI","OAK",-0.76,0
"75","Michael Vick",2009,7,"PHI","NYG",0,0
"76","Michael Vick",2010,4,"PHI","WAS",-3.53,0
"77","Michael Vick",2010,9,"PHI","WAS",1.22,0
"78","Michael Vick",2011,16,"PHI","WAS",1.81,0
"79","Michael Vick",2011,4,"PHI","SFO",2.61,-0.81
"80","Michael Vick",2011,6,"PHI","WAS",1.81,-0.13
"81","Michael Vick",2012,6,"PHI","DET",2.49,-0.59
"82","Michael Vick",2013,1,"PHI","WAS",2.04,0
