"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Mike Glennon",2013,4,"TAM","ARI",-1.81,-1.04
"2","Mike Glennon",2018,14,"ARI","ATL",-0.2,0
"3","Mike Glennon",2018,15,"ARI","LAR",0.16,0
"4","Mike Glennon",2013,10,"TAM","ATL",2.37,0
"5","Mike Glennon",2013,6,"TAM","ATL",-3.25,0
"6","Mike Glennon",2014,3,"TAM","ATL",-1.39,0
"7","Mike Glennon",2016,9,"TAM","ATL",0.1,0
"8","Mike Glennon",2017,1,"CHI","ATL",-2.08,-0.78
"9","Mike Glennon",2014,6,"TAM","BAL",-1.69,0
"10","Mike Glennon",2013,13,"TAM","BUF",3.08,0
"11","Mike Glennon",2013,12,"TAM","CAR",-1.2,0
"12","Mike Glennon",2013,7,"TAM","CAR",1.37,0
"13","Mike Glennon",2017,2,"CHI","TAM",-0.93,0
"14","Mike Glennon",2017,3,"CHI","PIT",-1.13,-0.22
"15","Mike Glennon",2017,4,"CHI","GNB",-1.32,0
"16","Mike Glennon",2020,15,"JAX","CHI",-1.38,0
"17","Mike Glennon",2014,8,"TAM","CLE",1.7,0.72
"18","Mike Glennon",2020,11,"JAX","CLE",-0.64,-0.43
"19","Mike Glennon",2013,11,"TAM","DET",0.21,0
"20","Mike Glennon",2019,7,"OAK","GNB",0.63,0
"21","Mike Glennon",2020,16,"JAX","IND",-3.37,0
"22","Mike Glennon",2020,13,"JAX","TEN",-1.85,0
"23","Mike Glennon",2013,15,"TAM","STL",-1.59,0
"24","Mike Glennon",2013,9,"TAM","MIA",0.63,-0.67
"25","Mike Glennon",2013,16,"TAM","NOR",-0.79,0
"26","Mike Glennon",2014,5,"TAM","NOR",-2.13,-0.55
"27","Mike Glennon",2019,11,"OAK","NYJ",-0.93,0
"28","Mike Glennon",2019,6,"OAK","GNB",0.63,0
"29","Mike Glennon",2014,4,"TAM","PIT",-1.29,0.02
"30","Mike Glennon",2013,14,"TAM","SFO",-1.31,0
"31","Mike Glennon",2013,5,"TAM","PHI",-0.97,0
"32","Mike Glennon",2013,8,"TAM","SEA",1.05,-0.54
"33","Mike Glennon",2014,7,"TAM","MIN",-0.63,1.01
"34","Mike Glennon",2016,8,"TAM","ATL",0.1,0
