"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Mitchell Trubisky",2018,3,"CHI","ARI",-0.17,0
"2","Mitchell Trubisky",2022,13,"PIT","BAL",2.09,0.95
"3","Mitchell Trubisky",2018,9,"CHI","BUF",5.87,0
"4","Mitchell Trubisky",2022,14,"PIT","CAR",-0.34,0
"5","Mitchell Trubisky",2018,1,"CHI","GNB",-2.15,-1
"6","Mitchell Trubisky",2018,10,"CHI","MIN",1.41,0.46
"7","Mitchell Trubisky",2018,13,"CHI","LAR",-2.89,0
"8","Mitchell Trubisky",2018,14,"CHI","GNB",3.12,0
"9","Mitchell Trubisky",2018,15,"CHI","SFO",0.74,-0.45
"10","Mitchell Trubisky",2018,16,"CHI","MIN",-0.88,0
"11","Mitchell Trubisky",2018,2,"CHI","SEA",1.57,0
"12","Mitchell Trubisky",2018,4,"CHI","TAM",6.15,0
"13","Mitchell Trubisky",2018,5,"CHI","MIA",1.36,-0.2
"14","Mitchell Trubisky",2018,6,"CHI","NWE",-1.76,-0.32
"15","Mitchell Trubisky",2018,7,"CHI","NYJ",-1.2,-0.04
"16","Mitchell Trubisky",2018,8,"CHI","BUF",3.56,0
"17","Mitchell Trubisky",2019,1,"CHI","GNB",-3.37,-0.72
"18","Mitchell Trubisky",2019,10,"CHI","LAR",-1.6,0
"19","Mitchell Trubisky",2019,11,"CHI","NYG",1.09,0
"20","Mitchell Trubisky",2019,12,"CHI","DET",2.93,1.3
"21","Mitchell Trubisky",2019,13,"CHI","DAL",0.92,0
"22","Mitchell Trubisky",2019,14,"CHI","GNB",-3.77,0.07
"23","Mitchell Trubisky",2019,15,"CHI","KAN",-0.95,0
"24","Mitchell Trubisky",2019,16,"CHI","MIN",-1.74,-0.07
"25","Mitchell Trubisky",2019,2,"CHI","DEN",-2.02,-1
"26","Mitchell Trubisky",2019,3,"CHI","WAS",2.74,0
"27","Mitchell Trubisky",2019,4,"CHI","MIN",3.37,0
"28","Mitchell Trubisky",2019,6,"CHI","NOR",1.34,0
"29","Mitchell Trubisky",2019,7,"CHI","LAC",1.52,0.35
"30","Mitchell Trubisky",2019,8,"CHI","PHI",-0.96,0.35
"31","Mitchell Trubisky",2019,9,"CHI","DET",-0.05,0
"32","Mitchell Trubisky",2020,15,"CHI","JAX",3.87,0
"33","Mitchell Trubisky",2022,1,"PIT","CIN",-0.43,-0.13
"34","Mitchell Trubisky",2022,3,"PIT","CLE",-1.08,0
"35","Mitchell Trubisky",2022,2,"PIT","NWE",-1.78,0
"36","Mitchell Trubisky",2022,4,"PIT","NYJ",-1.74,0
"37","Mitchell Trubisky",2022,6,"PIT","TAM",0.63,0.08
