"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Nick Foles",2013,12,"PHI","ARI",1.78,0.37
"2","Nick Foles",2014,7,"PHI","ARI",-4.03,-0.99
"3","Nick Foles",2015,12,"STL","ARI",-2.18,0
"4","Nick Foles",2015,4,"STL","ARI",1.1,-0.11
"5","Nick Foles",2018,1,"PHI","ATL",-1.9,0
"6","Nick Foles",2012,11,"PHI","CAR",1.04,0
"7","Nick Foles",2020,6,"CHI","CAR",-0.07,-0.11
"8","Nick Foles",2013,15,"PHI","CHI",2.39,0
"9","Nick Foles",2015,9,"STL","CHI",-2.83,0
"10","Nick Foles",2017,11,"PHI","CHI",-0.04,0
"11","Nick Foles",2020,15,"CHI","JAX",-0.15,0
"12","Nick Foles",2020,9,"CHI","TEN",-2.64,0.39
"13","Nick Foles",2012,14,"PHI","CIN",-3.83,0
"14","Nick Foles",2015,11,"STL","CIN",-2.83,0
"15","Nick Foles",2015,7,"STL","CLE",-1.28,0
"16","Nick Foles",2012,12,"PHI","DAL",-2.29,0
"17","Nick Foles",2012,9,"PHI","DAL",-3.33,0
"18","Nick Foles",2013,16,"PHI","DAL",1.31,-0.18
"19","Nick Foles",2013,7,"PHI","DAL",-5.71,0
"20","Nick Foles",2017,16,"PHI","DAL",-2.95,0
"21","Nick Foles",2013,4,"PHI","DEN",0.43,0
"22","Nick Foles",2017,8,"PHI","DEN",-0.85,0
"23","Nick Foles",2013,13,"PHI","DET",1.08,0
"24","Nick Foles",2013,9,"PHI","GNB",5.7,0
"25","Nick Foles",2015,5,"STL","GNB",-2.67,0
"26","Nick Foles",2014,9,"PHI","HOU",-3,0
"27","Nick Foles",2018,15,"PHI","HOU",2.67,-0.22
"28","Nick Foles",2014,2,"PHI","IND",0.07,0.76
"29","Nick Foles",2016,8,"KAN","IND",3.18,-0.4
"30","Nick Foles",2019,10,"JAX","IND",-2.87,0
"31","Nick Foles",2022,15,"IND","LAC",-2.68,0
"32","Nick Foles",2022,16,"IND","NYG",-1.35,0
"33","Nick Foles",2014,1,"PHI","JAX",-1.11,0
"34","Nick Foles",2019,1,"JAX","KAN",0.92,0
"35","Nick Foles",2019,11,"JAX","TEN",-2.56,0
"36","Nick Foles",2019,12,"JAX","TAM",-1.42,0
"37","Nick Foles",2016,7,"KAN","IND",2.65,0
"38","Nick Foles",2014,4,"PHI","STL",-2.04,-1.97
"39","Nick Foles",2015,1,"STL","SEA",-2.08,0.41
"40","Nick Foles",2015,2,"STL","WAS",-1.48,0
"41","Nick Foles",2015,3,"STL","PIT",0.03,-0.57
"42","Nick Foles",2015,6,"STL","CLE",-1.22,0
"43","Nick Foles",2015,8,"STL","MIN",-1.12,0.07
"44","Nick Foles",2017,13,"PHI","LAR",-0.9,0.06
"45","Nick Foles",2018,14,"PHI","LAR",0.36,-0.47
"46","Nick Foles",2013,2,"PHI","SDG",-0.1,-0.1
"47","Nick Foles",2013,14,"PHI","MIN",2.29,0
"48","Nick Foles",2013,5,"PHI","NYG",6.48,0.11
"49","Nick Foles",2014,6,"PHI","NYG",1.89,0
"50","Nick Foles",2017,14,"PHI","NYG",3.18,0
"51","Nick Foles",2013,8,"PHI","OAK",5.43,0
"52","Nick Foles",2017,15,"PHI","OAK",-2.82,-0.16
"53","Nick Foles",2012,10,"PHI","WAS",-4.66,0
"54","Nick Foles",2012,13,"PHI","TAM",-0.63,-0.39
"55","Nick Foles",2012,15,"PHI","WAS",-1.96,-0.55
"56","Nick Foles",2013,10,"PHI","GNB",4.66,0
"57","Nick Foles",2013,11,"PHI","WAS",1.85,0
"58","Nick Foles",2013,6,"PHI","TAM",3.93,0.11
"59","Nick Foles",2014,3,"PHI","WAS",4.15,0.16
"60","Nick Foles",2014,5,"PHI","STL",0.69,0
"61","Nick Foles",2014,8,"PHI","HOU",-1.38,0
"62","Nick Foles",2017,9,"PHI","DEN",-0.85,0
"63","Nick Foles",2018,16,"PHI","WAS",2.11,0
"64","Nick Foles",2018,2,"PHI","TAM",0.65,1.76
"65","Nick Foles",2020,8,"CHI","TEN",-2.64,0.39
