"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Patrick Mahomes",2018,9,"KAN","ARI",6.54,0
"2","Patrick Mahomes",2022,1,"KAN","ARI",6.03,0
"3","Patrick Mahomes",2020,15,"KAN","ATL",1.08,1.25
"4","Patrick Mahomes",2018,13,"KAN","BAL",-1.7,1.1
"5","Patrick Mahomes",2019,3,"KAN","BAL",4.18,0.25
"6","Patrick Mahomes",2022,6,"KAN","BUF",-1.32,-0.74
"7","Patrick Mahomes",2020,9,"KAN","CAR",5.08,-0.31
"8","Patrick Mahomes",2019,15,"KAN","CHI",3.64,0
"9","Patrick Mahomes",2018,7,"KAN","CIN",5.53,0
"10","Patrick Mahomes",2022,12,"KAN","CIN",1.61,0
"11","Patrick Mahomes",2017,16,"KAN","DEN",3.62,-0.01
"12","Patrick Mahomes",2018,4,"KAN","DEN",0.68,0.22
"13","Patrick Mahomes",2018,8,"KAN","DEN",3.29,0
"14","Patrick Mahomes",2019,14,"KAN","DEN",4.51,0
"15","Patrick Mahomes",2019,7,"KAN","DEN",1.71,0
"16","Patrick Mahomes",2020,12,"KAN","DEN",5.78,0.53
"17","Patrick Mahomes",2020,6,"KAN","DEN",1.35,0
"18","Patrick Mahomes",2022,13,"KAN","DEN",2.45,0.07
"19","Patrick Mahomes",2022,16,"KAN","DEN",3.24,0.11
"20","Patrick Mahomes",2019,4,"KAN","DET",1.23,0.02
"21","Patrick Mahomes",2019,6,"KAN","HOU",2.3,0
"22","Patrick Mahomes",2020,1,"KAN","HOU",2.81,0
"23","Patrick Mahomes",2022,14,"KAN","HOU",4.08,0.05
"24","Patrick Mahomes",2019,5,"KAN","IND",0.59,0
"25","Patrick Mahomes",2022,3,"KAN","IND",1.16,-0.48
"26","Patrick Mahomes",2018,5,"KAN","JAX",2.41,0
"27","Patrick Mahomes",2019,1,"KAN","JAX",4.45,0
"28","Patrick Mahomes",2022,10,"KAN","JAX",5.76,0.99
"29","Patrick Mahomes",2018,1,"KAN","LAC",1.21,0
"30","Patrick Mahomes",2018,10,"KAN","ARI",0.44,0
"31","Patrick Mahomes",2018,11,"KAN","LAR",-0.01,-0.27
"32","Patrick Mahomes",2018,12,"KAN","OAK",2.87,0.21
"33","Patrick Mahomes",2018,14,"KAN","LAC",1.53,-0.22
"34","Patrick Mahomes",2018,15,"KAN","SEA",2.22,0
"35","Patrick Mahomes",2018,16,"KAN","OAK",3.22,0
"36","Patrick Mahomes",2018,2,"KAN","PIT",2.37,-0.14
"37","Patrick Mahomes",2018,3,"KAN","SFO",3.49,0
"38","Patrick Mahomes",2018,6,"KAN","NWE",0.2,1.06
"39","Patrick Mahomes",2019,10,"KAN","TEN",3.95,-1.03
"40","Patrick Mahomes",2019,11,"KAN","LAC",0.82,-0.06
"41","Patrick Mahomes",2019,12,"KAN","OAK",1.99,0
"42","Patrick Mahomes",2019,13,"KAN","NWE",-0.59,0
"43","Patrick Mahomes",2019,16,"KAN","LAC",-0.14,0
"44","Patrick Mahomes",2019,2,"KAN","OAK",3.3,0
"45","Patrick Mahomes",2020,11,"KAN","TAM",1.77,0.16
"46","Patrick Mahomes",2020,13,"KAN","MIA",2.12,0.8
"47","Patrick Mahomes",2020,14,"KAN","NOR",1.93,0.17
"48","Patrick Mahomes",2020,4,"KAN","NWE",2.91,0
"49","Patrick Mahomes",2020,5,"KAN","LVR",1.23,0
"50","Patrick Mahomes",2020,7,"KAN","DEN",1.35,0
"51","Patrick Mahomes",2020,8,"KAN","NYJ",6.06,0
"52","Patrick Mahomes",2022,11,"KAN","LAR",2.56,0
"53","Patrick Mahomes",2022,15,"KAN","SEA",-1.21,0
"54","Patrick Mahomes",2022,17,"KAN","LVR",2.09,0
"55","Patrick Mahomes",2022,2,"KAN","LAC",1.9,-0.05
"56","Patrick Mahomes",2022,4,"KAN","TAM",-0.62,0
"57","Patrick Mahomes",2022,5,"KAN","LVR",4.58,-0.03
"58","Patrick Mahomes",2022,7,"KAN","SFO",4.08,0
"59","Patrick Mahomes",2022,8,"KAN","TEN",0.79,-0.11
"60","Patrick Mahomes",2022,9,"KAN","JAX",3.92,0
