"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Peyton Manning",2009,3,"IND","ARI",-0.62,0
"2","Peyton Manning",2014,4,"DEN","ARI",3.37,0
"3","Peyton Manning",2007,11,"IND","ATL",2.18,0
"4","Peyton Manning",2012,2,"DEN","ATL",3,0
"5","Peyton Manning",2007,13,"IND","BAL",4.04,0
"6","Peyton Manning",2008,5,"IND","BAL",2.52,0
"7","Peyton Manning",2009,10,"IND","BAL",-0.42,0.53
"8","Peyton Manning",2012,14,"DEN","BAL",0.01,0
"9","Peyton Manning",2013,1,"DEN","BAL",5.05,0
"10","Peyton Manning",2015,1,"DEN","BAL",-2.73,0.13
"11","Peyton Manning",2006,9,"IND","BUF",0.4,0
"12","Peyton Manning",2009,16,"IND","BUF",-1.37,0
"13","Peyton Manning",2014,13,"DEN","BUF",0.23,0
"14","Peyton Manning",2007,7,"IND","CAR",1.44,0
"15","Peyton Manning",2012,9,"DEN","CAR",2.02,0
"16","Peyton Manning",2008,1,"IND","CHI",-3.8,0
"17","Peyton Manning",2006,14,"IND","CIN",5.9,0
"18","Peyton Manning",2008,13,"IND","CIN",4.03,0
"19","Peyton Manning",2010,9,"IND","CIN",-0.15,-0.18
"20","Peyton Manning",2012,8,"DEN","CIN",2.55,0
"21","Peyton Manning",2014,15,"DEN","CIN",-0.42,-0.93
"22","Peyton Manning",2008,12,"IND","CLE",-0.26,0
"23","Peyton Manning",2012,15,"DEN","CLE",3.88,0
"24","Peyton Manning",2015,6,"DEN","CLE",-1.32,-0.53
"25","Peyton Manning",2006,10,"IND","DAL",-0.5,-0.56
"26","Peyton Manning",2010,12,"IND","DAL",1.32,0.4
"27","Peyton Manning",2013,5,"DEN","DAL",5.29,0.53
"28","Peyton Manning",2006,7,"IND","DEN",7.01,1.01
"29","Peyton Manning",2007,4,"IND","DEN",4.08,0
"30","Peyton Manning",2009,13,"IND","DEN",1.04,-0.18
"31","Peyton Manning",2010,3,"IND","DEN",-0.5,0
"32","Peyton Manning",2012,1,"DEN","PIT",3.73,-0.17
"33","Peyton Manning",2012,10,"DEN","SDG",-0.58,0
"34","Peyton Manning",2012,11,"DEN","KAN",2.07,0.53
"35","Peyton Manning",2012,12,"DEN","TAM",3.43,0
"36","Peyton Manning",2012,13,"DEN","OAK",0.35,0
"37","Peyton Manning",2012,16,"DEN","KAN",5.17,0
"38","Peyton Manning",2012,3,"DEN","HOU",-2,0.06
"39","Peyton Manning",2012,4,"DEN","OAK",2.02,0
"40","Peyton Manning",2012,5,"DEN","NWE",-0.9,0
"41","Peyton Manning",2012,7,"DEN","NOR",3.59,0
"42","Peyton Manning",2013,10,"DEN","KAN",1.16,0
"43","Peyton Manning",2013,11,"DEN","NWE",-0.3,0.6
"44","Peyton Manning",2013,12,"DEN","KAN",4.5,-0.31
"45","Peyton Manning",2013,13,"DEN","TEN",3.83,0
"46","Peyton Manning",2013,14,"DEN","SDG",1.05,0
"47","Peyton Manning",2013,15,"DEN","HOU",3.5,0
"48","Peyton Manning",2013,16,"DEN","OAK",5.34,0
"49","Peyton Manning",2013,2,"DEN","NYG",2.15,0
"50","Peyton Manning",2013,3,"DEN","OAK",4.26,0
"51","Peyton Manning",2013,4,"DEN","PHI",6.26,0
"52","Peyton Manning",2013,6,"DEN","JAX",-0.09,0
"53","Peyton Manning",2013,7,"DEN","IND",4.29,0
"54","Peyton Manning",2013,8,"DEN","WAS",2.57,0
"55","Peyton Manning",2013,9,"DEN","SDG",2.62,0.38
"56","Peyton Manning",2014,1,"DEN","IND",2.77,-0.3
"57","Peyton Manning",2014,10,"DEN","STL",-0.18,0
"58","Peyton Manning",2014,11,"DEN","MIA",4.33,0.14
"59","Peyton Manning",2014,14,"DEN","SDG",2.73,0
"60","Peyton Manning",2014,16,"DEN","OAK",0.82,0
"61","Peyton Manning",2014,2,"DEN","KAN",1.75,0.06
"62","Peyton Manning",2014,3,"DEN","SEA",-1.37,0.55
"63","Peyton Manning",2014,5,"DEN","NYJ",0.2,0.07
"64","Peyton Manning",2014,6,"DEN","SFO",5.44,0.07
"65","Peyton Manning",2014,7,"DEN","SDG",7.8,0
"66","Peyton Manning",2014,8,"DEN","NWE",3.42,0
"67","Peyton Manning",2014,9,"DEN","OAK",6.09,0
"68","Peyton Manning",2015,16,"DEN","SDG",-0.4,0
"69","Peyton Manning",2015,2,"DEN","KAN",-0.81,-0.01
"70","Peyton Manning",2015,3,"DEN","DET",2.08,0.43
"71","Peyton Manning",2015,4,"DEN","MIN",0.21,-0.06
"72","Peyton Manning",2015,5,"DEN","OAK",0.65,0
"73","Peyton Manning",2015,7,"DEN","GNB",2.27,0
"74","Peyton Manning",2015,8,"DEN","IND",3.23,0
"75","Peyton Manning",2015,9,"DEN","KAN",-3.15,0
"76","Peyton Manning",2008,14,"IND","DET",1.88,0.42
"77","Peyton Manning",2008,7,"IND","GNB",-4.3,0
"78","Peyton Manning",2006,15,"IND","HOU",3.49,1.28
"79","Peyton Manning",2006,2,"IND","HOU",4.68,0
"80","Peyton Manning",2007,15,"IND","HOU",4.22,0
"81","Peyton Manning",2007,3,"IND","HOU",2.76,0.21
"82","Peyton Manning",2008,10,"IND","HOU",1.77,-0.02
"83","Peyton Manning",2008,4,"IND","HOU",1.21,0.89
"84","Peyton Manning",2009,11,"IND","HOU",3.81,0
"85","Peyton Manning",2009,9,"IND","HOU",5.05,0.95
"86","Peyton Manning",2010,1,"IND","HOU",1.45,0
"87","Peyton Manning",2010,7,"IND","HOU",0.76,0
"88","Peyton Manning",2006,1,"IND","NYG",0.24,0.14
"89","Peyton Manning",2006,11,"IND","PHI",1.64,0
"90","Peyton Manning",2006,12,"IND","TEN",1.94,0.09
"91","Peyton Manning",2006,13,"IND","JAX",-0.71,0
"92","Peyton Manning",2006,16,"IND","MIA",3.58,0
"93","Peyton Manning",2006,3,"IND","JAX",0.61,0
"94","Peyton Manning",2006,4,"IND","NYJ",1.71,1.31
"95","Peyton Manning",2006,5,"IND","TEN",-0.39,0
"96","Peyton Manning",2006,6,"IND","WAS",5.03,0
"97","Peyton Manning",2006,8,"IND","NWE",-0.4,0.15
"98","Peyton Manning",2007,1,"IND","NOR",0.13,0
"99","Peyton Manning",2007,10,"IND","KAN",-1.05,0.29
"100","Peyton Manning",2007,12,"IND","JAX",1.59,-0.53
"101","Peyton Manning",2007,14,"IND","OAK",-0.98,-0.24
"102","Peyton Manning",2007,16,"IND","TEN",-0.83,0
"103","Peyton Manning",2007,2,"IND","TEN",2.99,-0.43
"104","Peyton Manning",2007,5,"IND","TAM",3.63,0
"105","Peyton Manning",2007,6,"IND","JAX",-2.39,0
"106","Peyton Manning",2007,8,"IND","NWE",-0.14,-0.47
"107","Peyton Manning",2007,9,"IND","SDG",0.91,-0.18
"108","Peyton Manning",2008,11,"IND","SDG",-1.64,0.15
"109","Peyton Manning",2008,15,"IND","JAX",5.2,0.49
"110","Peyton Manning",2008,16,"IND","TEN",2.67,0
"111","Peyton Manning",2008,2,"IND","MIN",-0.15,-0.04
"112","Peyton Manning",2008,3,"IND","JAX",-0.45,0.47
"113","Peyton Manning",2008,6,"IND","GNB",-2.65,0
"114","Peyton Manning",2008,8,"IND","NWE",1.52,0.24
"115","Peyton Manning",2008,9,"IND","PIT",0.34,0.48
"116","Peyton Manning",2009,1,"IND","JAX",1.98,0.15
"117","Peyton Manning",2009,12,"IND","TEN",1.15,0
"118","Peyton Manning",2009,14,"IND","JAX",4,-0.15
"119","Peyton Manning",2009,15,"IND","NYJ",2.12,0
"120","Peyton Manning",2009,2,"IND","MIA",1.93,1.34
"121","Peyton Manning",2009,4,"IND","SEA",4.09,0
"122","Peyton Manning",2009,5,"IND","TEN",0.56,0
"123","Peyton Manning",2009,6,"IND","STL",2.6,0
"124","Peyton Manning",2009,7,"IND","SFO",2.47,0.16
"125","Peyton Manning",2009,8,"IND","HOU",1.46,-0.21
"126","Peyton Manning",2010,10,"IND","NWE",0.15,-0.1
"127","Peyton Manning",2010,11,"IND","SDG",-1.81,0
"128","Peyton Manning",2010,13,"IND","TEN",5.45,0.52
"129","Peyton Manning",2010,14,"IND","JAX",-1.16,0
"130","Peyton Manning",2010,15,"IND","OAK",0.17,0.36
"131","Peyton Manning",2010,16,"IND","TEN",2.42,0.51
"132","Peyton Manning",2010,2,"IND","NYG",4.68,0
"133","Peyton Manning",2010,4,"IND","JAX",2.33,0.77
"134","Peyton Manning",2010,5,"IND","KAN",1.03,0
"135","Peyton Manning",2010,6,"IND","WAS",1.88,-0.92
"136","Peyton Manning",2010,8,"IND","PHI",-1.3,-0.37
