"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Philip Rivers",2006,16,"SDG","ARI",2.76,0
"2","Philip Rivers",2010,4,"SDG","ARI",3.17,0
"3","Philip Rivers",2014,1,"SDG","ARI",-0.25,-0.45
"4","Philip Rivers",2018,11,"LAC","ARI",4.39,0
"5","Philip Rivers",2008,12,"SDG","ATL",-1.55,-0.56
"6","Philip Rivers",2012,3,"SDG","ATL",-2.87,0
"7","Philip Rivers",2016,7,"SDG","ATL",-0.64,0.04
"8","Philip Rivers",2006,4,"SDG","BAL",1.35,-0.53
"9","Philip Rivers",2007,11,"SDG","BAL",2.77,0
"10","Philip Rivers",2009,2,"SDG","BAL",1.81,0.37
"11","Philip Rivers",2011,14,"SDG","BAL",1.97,0
"12","Philip Rivers",2012,11,"SDG","BAL",-0.76,-0.17
"13","Philip Rivers",2014,12,"SDG","BAL",0.1,1.04
"14","Philip Rivers",2015,8,"SDG","BAL",-0.84,-1.49
"15","Philip Rivers",2018,15,"LAC","BAL",-4.61,0
"16","Philip Rivers",2020,8,"IND","BAL",-2.35,0
"17","Philip Rivers",2006,12,"SDG","BUF",-0.75,0
"18","Philip Rivers",2008,6,"SDG","BUF",8.73,0
"19","Philip Rivers",2011,13,"SDG","BUF",2.66,0
"20","Philip Rivers",2014,3,"SDG","BUF",0.86,0
"21","Philip Rivers",2017,10,"LAC","BUF",3.76,0
"22","Philip Rivers",2018,2,"LAC","BUF",3.07,0
"23","Philip Rivers",2008,1,"SDG","CAR",1.32,0.72
"24","Philip Rivers",2012,14,"SDG","CAR",-1.46,0
"25","Philip Rivers",2016,13,"SDG","CAR",-1.45,0
"26","Philip Rivers",2007,1,"SDG","CHI",-0.71,0
"27","Philip Rivers",2011,10,"SDG","CHI",-0.62,0
"28","Philip Rivers",2019,7,"LAC","CHI",-1.43,-0.27
"29","Philip Rivers",2006,9,"SDG","CIN",3.38,0.67
"30","Philip Rivers",2009,14,"SDG","CIN",-1.72,0.77
"31","Philip Rivers",2010,15,"SDG","CIN",0.75,0
"32","Philip Rivers",2012,12,"SDG","CIN",-2.55,-0.3
"33","Philip Rivers",2013,12,"SDG","CIN",-1.41,0
"34","Philip Rivers",2015,2,"SDG","CIN",0.83,-0.18
"35","Philip Rivers",2018,13,"LAC","CIN",-1.3,-0.06
"36","Philip Rivers",2020,6,"IND","CIN",1.06,0
"37","Philip Rivers",2006,8,"SDG","CLE",-0.13,0
"38","Philip Rivers",2009,12,"SDG","CLE",4.12,0
"39","Philip Rivers",2012,8,"SDG","CLE",1.63,-0.36
"40","Philip Rivers",2015,4,"SDG","CLE",2.19,0.42
"41","Philip Rivers",2016,15,"SDG","CLE",-0.79,-0.07
"42","Philip Rivers",2017,12,"LAC","CLE",2.82,0
"43","Philip Rivers",2018,6,"LAC","CLE",1.42,0
"44","Philip Rivers",2020,5,"IND","CLE",-0.84,0
"45","Philip Rivers",2009,13,"SDG","DAL",1.17,0.17
"46","Philip Rivers",2013,4,"SDG","DAL",0.21,0
"47","Philip Rivers",2017,11,"LAC","DAL",4.75,0
"48","Philip Rivers",2006,10,"SDG","DEN",-0.45,-0.24
"49","Philip Rivers",2006,13,"SDG","DEN",3.39,0
"50","Philip Rivers",2007,15,"SDG","DEN",1.78,0
"51","Philip Rivers",2007,5,"SDG","DEN",0.75,0
"52","Philip Rivers",2008,16,"SDG","DEN",3.13,0
"53","Philip Rivers",2008,2,"SDG","DEN",0.57,-0.89
"54","Philip Rivers",2009,10,"SDG","DEN",1.99,0
"55","Philip Rivers",2009,6,"SDG","DEN",3.1,0
"56","Philip Rivers",2010,10,"SDG","DEN",2.24,0
"57","Philip Rivers",2010,16,"SDG","DEN",0.35,0
"58","Philip Rivers",2011,11,"SDG","DEN",0.09,-0.56
