"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Robert Griffin",2012,5,"WAS","ATL",-0.28,0
"2","Robert Griffin",2018,12,"BAL","ATL",-0.16,0
"3","Robert Griffin",2012,13,"WAS","BAL",0.17,0.03
"4","Robert Griffin",2019,1,"BAL","MIA",1.79,0
"5","Robert Griffin",2019,10,"HOU","BAL",0.07,0
"6","Robert Griffin",2019,11,"BAL","LAR",0.02,0
"7","Robert Griffin",2019,14,"BAL","NYJ",-0.95,0
"8","Robert Griffin",2019,16,"BAL","PIT",-1.41,0
"9","Robert Griffin",2019,9,"BAL","CIN",-0.6,0
"10","Robert Griffin",2016,14,"CLE","BUF",0.17,0
"11","Robert Griffin",2012,8,"WAS","CAR",-3.31,-0.13
"12","Robert Griffin",2013,7,"WAS","CHI",-2.6,-0.09
"13","Robert Griffin",2012,3,"WAS","CIN",0.84,1.13
"14","Robert Griffin",2016,13,"CLE","CIN",-2.31,0
"15","Robert Griffin",2016,1,"CLE","PHI",-1.41,0
"16","Robert Griffin",2016,15,"CLE","SDG",-0.82,0
"17","Robert Griffin",2016,16,"CLE","PIT",-1.94,0.37
"18","Robert Griffin",2012,11,"WAS","DAL",2.08,-0.2
"19","Robert Griffin",2012,16,"WAS","DAL",0.81,0.13
"20","Robert Griffin",2013,6,"WAS","DAL",-2.22,-0.09
"21","Robert Griffin",2014,16,"WAS","DAL",-1.53,0
"22","Robert Griffin",2013,8,"WAS","DEN",-3.7,0
"23","Robert Griffin",2013,3,"WAS","DET",-1.79,0.03
"24","Robert Griffin",2013,2,"WAS","GNB",-0.5,0
"25","Robert Griffin",2014,1,"WAS","HOU",-1.49,0
"26","Robert Griffin",2014,2,"WAS","JAX",-3.29,0
"27","Robert Griffin",2013,13,"WAS","KAN",-1.76,0
"28","Robert Griffin",2012,2,"WAS","STL",0.76,-0.17
"29","Robert Griffin",2014,13,"WAS","STL",-0.16,0
"30","Robert Griffin",2012,6,"WAS","MIN",1.11,-0.15
"31","Robert Griffin",2013,9,"WAS","MIN",2.64,0.15
"32","Robert Griffin",2012,1,"WAS","NOR",-0.26,0.21
"33","Robert Griffin",2012,12,"WAS","NYG",-3.09,0.29
"34","Robert Griffin",2012,7,"WAS","NYG",-1.49,0.2
"35","Robert Griffin",2013,12,"WAS","NYG",-2.37,-0.74
"36","Robert Griffin",2014,14,"WAS","NYG",-2.23,0
"37","Robert Griffin",2013,4,"WAS","OAK",-1.71,0
"38","Robert Griffin",2012,10,"WAS","PHI",3.09,0
"39","Robert Griffin",2012,15,"WAS","PHI",1.29,0
"40","Robert Griffin",2013,1,"WAS","PHI",0.52,1.15
"41","Robert Griffin",2013,11,"WAS","PHI",3.31,-0.65
"42","Robert Griffin",2014,15,"WAS","PHI",-1.12,0.11
"43","Robert Griffin",2014,11,"WAS","SFO",-2.14,-1.07
"44","Robert Griffin",2012,4,"WAS","TAM",3.2,0.54
"45","Robert Griffin",2014,10,"WAS","TAM",-0.6,0
"46","Robert Griffin",2012,9,"WAS","CAR",-1.49,-0.13
"47","Robert Griffin",2013,10,"WAS","PHI",-1.36,-0.65
"48","Robert Griffin",2013,5,"WAS","DAL",-3.12,0
