"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Russell Wilson",2012,1,"SEA","ARI",-1.83,-0.56
"2","Russell Wilson",2012,13,"SEA","ARI",0.81,0
"3","Russell Wilson",2013,15,"SEA","ARI",-1.23,-0.53
"4","Russell Wilson",2013,7,"SEA","ARI",1.73,0
"5","Russell Wilson",2014,11,"SEA","ARI",1.57,0
"6","Russell Wilson",2014,15,"SEA","ARI",4.04,0
"7","Russell Wilson",2015,16,"SEA","ARI",0.4,0
"8","Russell Wilson",2015,9,"SEA","ARI",-0.12,0
"9","Russell Wilson",2016,15,"SEA","ARI",1.36,2.7
"10","Russell Wilson",2016,7,"SEA","ARI",-0.91,-0.11
"11","Russell Wilson",2017,16,"SEA","ARI",0.42,0.36
"12","Russell Wilson",2017,9,"SEA","ARI",-0.21,0
"13","Russell Wilson",2018,16,"SEA","ARI",0.21,0.4
"14","Russell Wilson",2018,4,"SEA","ARI",0.75,0.28
"15","Russell Wilson",2019,15,"SEA","ARI",-2.13,0
"16","Russell Wilson",2019,4,"SEA","ARI",2.22,0
"17","Russell Wilson",2020,7,"SEA","ARI",1.87,-0.41
"18","Russell Wilson",2013,9,"SEA","ATL",6.11,0.7
"19","Russell Wilson",2016,6,"SEA","ATL",0.46,-0.08
"20","Russell Wilson",2017,10,"SEA","ATL",-1.37,0.56
"21","Russell Wilson",2019,8,"SEA","ATL",1.3,0.32
"22","Russell Wilson",2015,13,"SEA","BAL",3.96,0
"23","Russell Wilson",2019,7,"SEA","BAL",-0.42,0
"24","Russell Wilson",2022,12,"DEN","BAL",-1.58,-0.23
"25","Russell Wilson",2012,14,"SEA","BUF",4.78,0
"26","Russell Wilson",2016,9,"SEA","BUF",1.8,-0.13
"27","Russell Wilson",2012,5,"SEA","CAR",-1.22,-0.55
"28","Russell Wilson",2013,1,"SEA","CAR",1.34,0.51
"29","Russell Wilson",2014,8,"SEA","CAR",0.35,1.07
"30","Russell Wilson",2015,5,"SEA","CAR",-4.11,-1.1
"31","Russell Wilson",2016,12,"SEA","CAR",2.23,0
"32","Russell Wilson",2018,11,"SEA","CAR",1.27,0.96
"33","Russell Wilson",2019,14,"SEA","CAR",2.69,0.2
"34","Russell Wilson",2012,12,"SEA","CHI",4.63,0.74
