"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Ryan Fitzpatrick",2012,6,"BUF","ARI",-0.73,-0.15
"2","Ryan Fitzpatrick",2013,14,"TEN","ARI",-1.44,0.56
"3","Ryan Fitzpatrick",2016,6,"NYJ","ARI",-2.33,0
"4","Ryan Fitzpatrick",2017,6,"TAM","ARI",2.73,1.18
"5","Ryan Fitzpatrick",2017,11,"TAM","ATL",-1.24,0
"6","Ryan Fitzpatrick",2008,12,"CIN","BAL",-2.22,0
"7","Ryan Fitzpatrick",2010,7,"BUF","BAL",-0.54,-0.56
"8","Ryan Fitzpatrick",2016,7,"NYJ","BAL",0.63,-0.26
"9","Ryan Fitzpatrick",2019,1,"MIA","BAL",-0.69,0
"10","Ryan Fitzpatrick",2009,10,"BUF","JAX",-0.36,-0.86
"11","Ryan Fitzpatrick",2009,11,"BUF","MIA",1.79,0
"12","Ryan Fitzpatrick",2009,12,"BUF","NYJ",-1.78,-0.45
"13","Ryan Fitzpatrick",2009,13,"BUF","KAN",-0.8,0
"14","Ryan Fitzpatrick",2009,14,"BUF","NWE",0.44,0.38
"15","Ryan Fitzpatrick",2009,16,"BUF","IND",1.84,0
"16","Ryan Fitzpatrick",2009,6,"BUF","NYJ",-0.74,0.08
"17","Ryan Fitzpatrick",2009,7,"BUF","CAR",-0.45,0
"18","Ryan Fitzpatrick",2009,8,"BUF","HOU",-1.87,0
"19","Ryan Fitzpatrick",2009,9,"BUF","TEN",-1.19,0
"20","Ryan Fitzpatrick",2010,10,"BUF","CIN",1.19,0
"21","Ryan Fitzpatrick",2010,11,"BUF","PIT",-0.21,-0.17
"22","Ryan Fitzpatrick",2010,12,"BUF","MIN",-1.52,0
"23","Ryan Fitzpatrick",2010,14,"BUF","MIA",1.02,0
"24","Ryan Fitzpatrick",2010,15,"BUF","NWE",-3.72,0
"25","Ryan Fitzpatrick",2010,3,"BUF","NWE",-0.2,-0.28
"26","Ryan Fitzpatrick",2010,4,"BUF","NYJ",-0.73,0
"27","Ryan Fitzpatrick",2010,5,"BUF","JAX",2.44,0
"28","Ryan Fitzpatrick",2010,6,"BUF","BAL",1.3,-0.01
"29","Ryan Fitzpatrick",2010,8,"BUF","CHI",-1.99,-1.1
"30","Ryan Fitzpatrick",2010,9,"BUF","DET",-1.01,-0.14
"31","Ryan Fitzpatrick",2011,1,"BUF","KAN",1.51,0
"32","Ryan Fitzpatrick",2011,10,"BUF","MIA",-3.75,0
"33","Ryan Fitzpatrick",2011,11,"BUF","NYJ",-0.7,-0.61
"34","Ryan Fitzpatrick",2011,12,"BUF","TEN",-0.77,0.7
"35","Ryan Fitzpatrick",2011,13,"BUF","SDG",-2.32,0
