"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","Ryan Tannehill",2012,4,"MIA","ARI",0.2,-0.34
"2","Ryan Tannehill",2016,13,"MIA","ARI",0.62,0
"3","Ryan Tannehill",2013,3,"MIA","ATL",1.2,1.33
"4","Ryan Tannehill",2013,5,"MIA","BAL",0.23,-0.3
"5","Ryan Tannehill",2014,13,"MIA","BAL",-0.8,0
"6","Ryan Tannehill",2015,12,"MIA","BAL",-1.05,0.04
"7","Ryan Tannehill",2016,12,"MIA","BAL",-1.74,0
"8","Ryan Tannehill",2012,10,"MIA","BUF",-3.31,-0.05
"9","Ryan Tannehill",2012,15,"MIA","BUF",0.75,0
"10","Ryan Tannehill",2013,15,"MIA","BUF",-3.65,0
"11","Ryan Tannehill",2013,7,"MIA","BUF",-1.56,-0.72
"12","Ryan Tannehill",2014,10,"MIA","BUF",2.93,0
"13","Ryan Tannehill",2014,2,"MIA","BUF",-3.38,0
"14","Ryan Tannehill",2015,3,"MIA","BUF",-1.94,0
"15","Ryan Tannehill",2015,8,"MIA","BUF",-2.71,0
"16","Ryan Tannehill",2016,7,"MIA","BUF",-0.96,0
"17","Ryan Tannehill",2018,12,"MIA","BUF",1.4,0.17
"18","Ryan Tannehill",2018,16,"MIA","BUF",-2.74,0
"19","Ryan Tannehill",2020,5,"TEN","BUF",5.43,1.87
"20","Ryan Tannehill",2022,2,"TEN","BUF",-2.18,0
"21","Ryan Tannehill",2013,11,"MIA","CAR",-0.58,-0.62
"22","Ryan Tannehill",2019,8,"TEN","CAR",0.75,-0.13
"23","Ryan Tannehill",2014,7,"MIA","CHI",1.52,0
"24","Ryan Tannehill",2020,9,"TEN","CHI",-1.08,0
"25","Ryan Tannehill",2012,5,"MIA","CIN",-0.1,0.08
"26","Ryan Tannehill",2013,9,"MIA","CIN",0.7,-0.66
"27","Ryan Tannehill",2016,4,"MIA","CIN",-0.17,0
"28","Ryan Tannehill",2018,5,"MIA","CIN",-0.38,-0.21
"29","Ryan Tannehill",2020,8,"TEN","CIN",3.67,0
"30","Ryan Tannehill",2022,11,"TEN","CIN",0.38,0
"31","Ryan Tannehill",2013,1,"MIA","CLE",-0.85,0
"32","Ryan Tannehill",2016,3,"MIA","CLE",0.05,-0.62
